"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.671669250×10^0,6.607976556×10^-1,4.412844479×10^-1,1.202616811×10^0
1.681619250×10^0,7.795247436×10^-1,6.278487444×10^-1,1.560374498×10^0
1.691569250×10^0,6.662836671×10^-1,4.088743031×10^-1,1.759519577×10^0
1.701519250×10^0,4.588423297×10^-2,-3.742467463×10^-1,1.736221910×10^0
1.711469250×10^0,-6.237990260×10^-1,-7.962158322×10^-1,1.335882306×10^0
1.721419250×10^0,-1.197920561×10^0,-5.623828173×10^-1,6.506225467×10^-1
1.731369250×10^0,-1.679810047×10^0,-1.516405344×10^-1,2.893533111×10^-1
1.741319250×10^0,-1.906544328×10^0,2.279316783×10^-1,2.915390134×10^-1
1.751269250×10^0,-1.814649820×10^0,5.884776115×10^-1,3.310624659×10^-1
1.761219250×10^0,-1.491448760×10^0,8.339419961×10^-1,5.696427226×10^-1
1.771169250×10^0,-9.833989143×10^-1,6.626288295×10^-1,8.340461850×10^-1
1.781119250×10^0,-5.001416802×10^-1,3.199424744×10^-1,1.045451045×10^0
1.791069250×10^0,-1.957660913×10^-1,2.634048760×10^-1,1.206631422×10^0
1.801019250×10^0,1.081513166×10^-1,2.358125709×10^-2,1.508720636×10^0
1.810969250×10^0,2.191838324×10^-1,-4.994761050×10^-1,1.638851166×10^0
1.820919250×10^0,8.798518777×10^-2,-1.538681269×10^0,1.782575607×10^0
1.830869250×10^0,-7.280449569×10^-2,-2.252557755×10^0,2.170497417×10^0
1.840819250×10^0,-1.698573977×10^-1,-2.734393597×10^0,2.623281479×10^0
1.850769250×10^0,-2.296461612×10^-1,-2.766460180×10^0,3.023565531×10^0
1.860719250×10^0,-3.241001964×10^-1,-2.414709091×10^0,3.209887505×10^0
1.870669250×10^0,-2.789641321×10^-1,-1.703696489×10^0,3.388631582×10^0
1.880619250×10^0,-5.418471619×10^-2,-8.509101868×10^-1,3.617599010×10^0
1.890569250×10^0,3.093104064×10^-1,-1.143988743×10^-1,3.802229404×10^0
1.900519250×10^0,6.117956042×10^-1,5.947143584×10^-2,3.996117592×10^0
1.910469250×10^0,7.590942979×10^-1,3.281716108×10^-1,4.242775440×10^0
1.920419250×10^0,7.338078618×10^-1,8.898691535×10^-1,4.506993294×10^0
1.930369250×10^0,4.762639403×10^-1,1.920024872×10^0,4.713556290×10^0
1.940319250×10^0,9.479454160×10^-2,3.340255499×10^0,4.815129280×10^0
1.950269250×10^0,5.045797303×10^-2,4.338508606×10^0,4.872876167×10^0
1.960219250×10^0,-5.130954385×10^-1,4.934377193×10^0,4.796286583×10^0
1.970169250×10^0,-1.168969989×10^0,4.610527039×10^0,4.549308777×10^0
1.980119250×10^0,-1.997628689×10^0,3.121117592×10^0,4.091498375×10^0
1.990069250×10^0,-2.907625437×10^0,1.109738111×10^0,3.663489342×10^0
2.000019250×10^0,-3.877451420×10^0,-5.631673932×10^-1,3.898099661×10^0
2.009969250×10^0,-4.144909382×10^0,-1.551060438×10^0,4.737462044×10^0
2.019919250×10^0,-3.503016949×10^0,-9.633677602×10^-1,2.692816734×10^0
2.029869250×10^0,-2.333129406×10^0,1.282831788×10^0,-6.992359161×10^-1
2.039819250×10^0,-1.469484091×10^0,1.267689943×10^0,-1.519450188×10^0
2.049769250×10^0,-6.589254141×10^-1,-2.434200794×10^-1,-1.188596964×10^0
2.059719250×10^0,5.769815296×10^-2,-1.203936577×10^0,-2.753692865×10^-1
2.069669250×10^0,5.849371552×10^-1,-1.194701791×10^0,5.440832376×10^-1
2.079619250×10^0,1.009566188×10^0,-1.090919614×10^0,5.256420374×10^-1
2.089569250×10^0,1.339085817×10^0,-1.003162622×10^0,1.776662618×10^-1
2.099519250×10^0,1.465483665×10^0,-7.947314978×10^-1,-1.109349206×10^-1
2.109469250×10^0,1.450760961×10^0,-5.939230323×10^-1,-2.033596635×10^-1
2.119419250×10^0,1.419397354×10^0,-4.046839774×10^-1,-2.127359957×10^-1
2.129369250×10^0,1.419377327×10^0,-2.031008005×10^-1,-2.084275335×10^-1
2.139319250×10^0,1.423255444×10^0,5.122514442×10^-2,-2.055896223×10^-1
2.149269250×10^0,1.416219473×10^0,3.213607669×10^-1,-1.935606599×10^-1
2.159219250×10^0,1.391432166×10^0,5.573913455×10^-1,-1.695862859×10^-1
2.169169250×10^0,1.348011732×10^0,7.290837765×10^-1,-1.985694617×10^-1
2.179119250×10^0,1.312600255×10^0,7.933524847×10^-1,-2.094293535×10^-1
2.189069250×10^0,1.294736624×10^0,6.834595203×10^-1,-1.993604749×10^-1
2.199019250×10^0,1.360767841×10^0,1.605936885×10^-1,-3.173907399×10^-1
2.208969250×10^0,1.633779764×10^0,-9.330965281×10^-1,-9.202204347×10^-1
