"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.690261583×10^0,3.400328979×10^0,5.372627563×10^0,4.808301086×10^0
1.700211583×10^0,3.588038635×10^0,5.648354187×10^0,4.354295197×10^0
1.710161583×10^0,4.793781281×10^0,5.717210999×10^0,3.408561859×10^0
1.720111583×10^0,5.542224884×10^0,5.748645630×10^0,3.093167725×10^0
1.730061583×10^0,4.651277618×10^0,5.820795593×10^0,4.117188263×10^0
1.740010583×10^0,3.656296692×10^0,6.272556152×10^0,5.270390167×10^0
1.749960583×10^0,2.644400940×10^0,6.860084381×10^0,5.721551971×10^0
1.759910583×10^0,1.982776794×10^0,7.332052917×10^0,5.072351990×10^0
1.769860583×10^0,2.491119690×10^0,7.664661255×10^0,4.327201538×10^0
1.779810583×10^0,3.331921234×10^0,7.390431519×10^0,3.874542847×10^0
1.789760583×10^0,3.388802948×10^0,6.931336212×10^0,2.839445343×10^0
1.799710583×10^0,4.560117188×10^0,7.614216156×10^0,2.410587158×10^0
1.809660583×10^0,4.686903534×10^0,8.416996765×10^0,2.874023438×10^0
1.819610583×10^0,3.567531281×10^0,8.710835724×10^0,3.727249146×10^0
1.829560583×10^0,2.724634094×10^0,8.674611053×10^0,3.519331512×10^0
1.839510583×10^0,2.263742523×10^0,8.259075165×10^0,1.709744568×10^0
1.849459583×10^0,2.291584625×10^0,7.689359894×10^0,7.952961731×10^-1
1.859409583×10^0,2.824925537×10^0,7.439679108×10^0,-1.669029236×10^-1
1.869359583×10^0,4.592300262×10^0,8.440497894×10^0,2.210902405×10^-1
1.879309583×10^0,5.417983246×10^0,9.906100159×10^0,1.288520508×10^0
1.889259583×10^0,5.087171173×10^0,1.064047302×10^1,8.649014282×10^-1
1.899209583×10^0,3.744912415×10^0,1.077459412×10^1,-2.360591125×10^-1
1.909159583×10^0,2.300266571×10^0,1.052925430×10^1,-9.997709656×10^-1
1.919109583×10^0,2.258952484×10^0,1.041354492×10^1,-2.188598785×10^0
1.929059583×10^0,2.479144592×10^0,1.001716919×10^1,-2.316133575×10^0
1.939009583×10^0,3.402274933×10^0,9.618847504×10^0,-2.113754425×10^0
1.948958583×10^0,3.909120941×10^0,9.009315033×10^0,-2.312990112×10^0
1.958908583×10^0,2.525847473×10^0,8.275391235×10^0,-1.896406403×10^0
1.968858583×10^0,5.463638306×10^-1,8.174351349×10^0,-2.072140961×10^0
1.978808583×10^0,-5.439688110×10^-1,8.776399384×10^0,-2.806513824×10^0
1.988758583×10^0,-1.038091278×10^0,9.334289246×10^0,-3.192561035×10^0
1.998708583×10^0,-4.653822327×10^-1,9.362580414×10^0,-2.943179626×10^0
2.008658583×10^0,2.540217590×10^-1,9.299711151×10^0,-2.596051483×10^0
2.018608583×10^0,9.481283569×10^-1,8.818312225×10^0,-2.162852325×10^0
2.028558583×10^0,6.014492798×10^-1,8.024213562×10^0,-1.963466949×10^0
2.038508583×10^0,-3.529660034×10^-1,7.671996002×10^0,-1.861977997×10^0
2.048458583×10^0,-6.047424316×10^-1,7.685917053×10^0,-1.612746277×10^0
2.058407583×10^0,-6.271957397×10^-1,8.066725159×10^0,-5.417234802×10^-1
2.068357583×10^0,-1.104702759×10^0,9.196575623×10^0,-1.717827759×10^0
2.078307583×10^0,-1.484313354×10^0,1.019963974×10^1,-3.304827576×10^0
2.088257583×10^0,-1.627565460×10^0,1.044902115×10^1,-2.821183319×10^0
2.098207583×10^0,-9.479786682×10^-1,1.055559952×10^1,-2.440524902×10^0
2.108157583×10^0,-8.023315430×10^-1,1.028630951×10^1,-2.113604736×10^0
2.118107958×10^0,-1.265767822×10^0,9.543105011×10^0,-1.578168182×10^0
2.128057958×10^0,-1.822011108×10^0,8.788823547×10^0,-1.808838501×10^0
2.138007958×10^0,-2.281405792×10^0,7.523205414×10^0,-2.187251587×10^0
2.147957958×10^0,-1.152303772×10^0,8.931177521×10^0,-2.695594482×10^0
2.157907958×10^0,-1.387464752×10^0,9.524094543×10^0,-3.269800415×10^0
2.167856958×10^0,-6.506968689×10^-1,9.251810760×10^0,-3.010838928×10^0
2.177806958×10^0,-1.293310547×10^0,9.216334534×10^0,-4.537663879×10^0
2.187756958×10^0,-2.589465179×10^0,8.738378448×10^0,-4.621938629×10^0
2.197706958×10^0,-2.987188110×10^0,8.897198181×10^0,-4.809947662×10^0
2.207656958×10^0,-2.833906860×10^0,9.245823212×10^0,-4.731510773×10^0
2.217606958×10^0,-2.755320282×10^0,8.957373047×10^0,-4.968617706×10^0
2.227556958×10^0,-2.747536469×10^0,8.479866028×10^0,-5.440735931×10^0
2.237506958×10^0,-2.281705170×10^0,8.229885864×10^0,-5.699996796×10^0
2.247456958×10^0,-2.361638947×10^0,7.891589355×10^0,-5.244344330×10^0
2.257406958×10^0,-7.741451569×10^0,6.017187195×10^0,-6.755451965×10^-1
2.267356958×10^0,6.737489319×10^-1,9.030421143×10^0,-2.073488159×10^0
2.277305958×10^0,4.681963806×10^0,1.087548431×10^1,-8.477321320×10^0
2.287255958×10^0,-5.982609100×10^0,8.317453766×10^0,2.980751495×10^0
2.297205958×10^0,-3.262166290×10^0,9.618847504×10^0,-1.736389160×10^-1
2.307155958×10^0,-4.386328583×10^0,9.378746796×10^0,-1.269210663×10^0
2.317105958×10^0,-5.551355896×10^0,9.384884033×10^0,-5.980064392×10^-1
2.327055958×10^0,-5.574707336×10^0,9.060957642×10^0,-1.347647552×10^0
2.337005958×10^0,-6.206543427×10^0,8.346643066×10^0,-1.798959045×10^0
2.346955958×10^0,-6.601272583×10^0,8.250093842×10^0,-2.268831940×10^0
2.356905958×10^0,-6.674919434×10^0,8.637637939×10^0,-2.353406067×10^0
2.366855958×10^0,-6.746620331×10^0,9.116342468×10^0,-2.237846375×10^0
2.376805958×10^0,-6.469546509×10^0,9.224417725×10^0,-2.201921082×10^0
2.386754958×10^0,-6.034102020×10^0,8.758137360×10^0,-2.313738556×10^0
2.396704958×10^0,-5.228177948×10^0,8.145012360×10^0,-2.601589966×10^0
2.406654958×10^0,-4.665048981×10^0,7.745044098×10^0,-2.793191528×10^0
2.416604958×10^0,-4.400249634×10^0,7.789202271×10^0,-2.642604675×10^0
2.426554958×10^0,-4.264781342×10^0,8.173602905×10^0,-1.969155121×10^0
2.436504958×10^0,-2.858605499×10^0,8.856333160×10^0,-2.000140686×10^0
2.446454958×10^0,-3.491639099×10^0,9.124575348×10^0,-9.765692139×10^-1
2.456404958×10^0,-2.975811768×10^0,9.830507355×10^0,-6.291416931×10^-1
2.466354958×10^0,-3.117267609×10^0,1.043255539×10^1,-1.106798401×10^0
2.476304958×10^0,-3.600762177×10^0,1.079570023×10^1,-1.619332581×10^0
2.486254958×10^0,-4.052522736×10^0,1.033675461×10^1,-2.104473724×10^0
2.496204958×10^0,-4.226011963×10^0,9.773026886×10^0,-2.516866150×10^0
2.506153958×10^0,-3.851790161×10^0,9.446855164×10^0,-2.329156494×10^0
2.516103958×10^0,-4.266128540×10^0,9.268126831×10^0,-2.605032806×10^0
2.526053958×10^0,-4.857997742×10^0,9.610165558×10^0,-1.845212860×10^0
2.536003958×10^0,-5.010231171×10^0,9.726324005×10^0,-1.520388336×10^0
2.545953958×10^0,-4.988376617×10^0,9.849667511×10^0,-1.623224487×10^0
2.555903958×10^0,-5.240602112×10^0,9.707463226×10^0,-1.464404755×10^0
2.565853958×10^0,-5.616620178×10^0,9.432335358×10^0,-1.087787933×10^0
2.575803958×10^0,-5.624853058×10^0,9.179361420×10^0,-1.442101135×10^0
2.585753958×10^0,-5.694608002×10^0,9.006770325×10^0,-1.614542542×10^0
2.595703958×10^0,-5.690716095×10^0,8.837023315×10^0,-5.707630920×10^-1
