"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.425209083×10^0,2.098090649×10^0,-5.268532276×10^0,-1.876572818×10^-1
2.435158083×10^0,1.747437239×10^0,-5.310812950×10^0,-1.913100719×10^0
2.445106083×10^0,1.377330899×10^0,-4.717808247×10^0,-3.023764610×10^0
2.455054083×10^0,9.685892463×10^-1,-4.342602253×10^0,-3.433429480×10^0
2.465002083×10^0,4.342332184×10^-1,-3.829761505×10^0,-3.231091976×10^0
2.474950083×10^0,-2.088544071×10^-1,-2.697423458×10^0,-2.412456274×10^0
2.484899083×10^0,-7.715894580×10^-1,-1.143675447×10^0,-1.389915466×10^0
2.494847083×10^0,-1.055321813×10^0,2.609256804×10^-1,-3.603993952×10^-1
2.504795083×10^0,-1.024024248×10^0,1.323701978×10^0,4.974550903×10^-1
2.514743083×10^0,-7.454975843×10^-1,1.824039102×10^0,1.062037468×10^0
2.524691083×10^0,-3.611730933×10^-1,1.827492476×10^0,1.458922386×10^0
2.534639083×10^0,2.150636166×10^-2,1.638662577×10^0,1.756701946×10^0
2.544588083×10^0,3.604289293×10^-1,1.511857390×10^0,1.918731689×10^0
2.554536083×10^0,6.679497361×10^-1,1.472015262×10^0,2.004248857×10^0
2.564484083×10^0,9.126602411×10^-1,1.464950085×10^0,2.058954716×10^0
2.574432083×10^0,1.064029813×10^0,1.387880087×10^0,2.061147213×10^0
2.584380083×10^0,9.944264293×10^-1,9.236064553×10^-1,2.069759369×10^0
2.594329083×10^0,6.810666919×10^-1,1.522200108×10^-1,2.149534941×10^0
2.604277083×10^0,3.043698072×10^-1,-9.905767441×10^-1,2.210591555×10^0
2.614225083×10^0,5.452343728×10^-3,-2.168011665×10^0,2.252729893×10^0
2.624173083×10^0,-1.319016423×10^-2,-3.048630953×10^0,2.145781040×10^0
2.634121083×10^0,1.586934477×10^-1,-3.358502865×10^0,1.917569995×10^0
2.644070083×10^0,7.266363502×10^-1,-1.700265884×10^0,1.624302864×10^0
2.654018083×10^0,1.525446177×10^0,1.690811992×10^0,1.361354351×10^0
2.663966083×10^0,1.791083813×10^0,4.796054363×10^0,1.277541995×10^0
2.673914083×10^0,1.350515246×10^0,6.895579815×10^0,1.365283728×10^0
2.683862083×10^0,1.483708173×10^-1,6.776988506×10^0,1.479968429×10^0
2.693810083×10^0,-1.335996389×10^0,5.267438412×10^0,1.574362278×10^0
2.703759083×10^0,-2.608643532×10^0,3.119252920×10^0,1.632852912×10^0
2.713707083×10^0,-3.682181597×10^0,-3.415015042×10^-1,1.596587062×10^0
2.723655083×10^0,-3.985268831×10^0,-4.456115246×10^0,1.580289721×10^0
2.733603083×10^0,-3.392151117×10^0,-6.443379879×10^0,1.370423317×10^0
2.743551083×10^0,-2.475868464×10^0,-5.849319935×10^0,-5.913519114×10^-2
2.753500083×10^0,-1.805451751×10^0,-1.401942492×10^0,-2.821859121×10^0
2.763448083×10^0,-8.971374035×10^-1,1.987511039×10^0,-4.550064087×10^0
2.773396083×10^0,3.050896525×10^-2,6.225230098×10^-1,-3.361265421×10^0
2.783344083×10^0,1.918842345×10^-1,-1.267263889×10^0,-1.021745443×10^0
2.793292083×10^0,-8.054416776×10^-1,-1.941319108×10^0,1.047596216×10^0
2.803241083×10^0,-2.561521769×10^0,-1.588575363×10^0,2.257374525×10^0
2.813189083×10^0,-4.174464226×10^0,-4.840331376×10^-1,2.819659233×10^0
2.823137083×10^0,-4.974767208×10^0,-1.121123731×10^-1,3.159845829×10^0
2.833085083×10^0,-4.758708000×10^0,-1.084970117×10^0,3.199194193×10^0
2.843033083×10^0,-3.763267279×10^0,-7.300460935×10^-1,2.519146681×10^0
2.852981083×10^0,-2.119709253×10^0,3.861717880×10^-1,1.660983920×10^0
2.862930083×10^0,-2.711769044×10^-1,6.281612515×10^-1,1.050188184×10^0
2.872878083×10^0,1.223752260×10^0,6.143159866×10^-1,8.484565020×10^-1
2.882826083×10^0,1.620488524×10^0,7.018148303×10^-1,5.879760385×10^-1
2.892774083×10^0,1.464672804×10^0,9.675594568×10^-1,7.289810777×10^-1
2.902722083×10^0,1.226554632×10^0,1.170487523×10^0,9.568849206×10^-1
2.912671083×10^0,7.510560751×10^-1,1.404149771×10^0,1.233011007×10^0
2.922619083×10^0,4.825794101×10^-1,1.510477304×10^0,1.364287496×10^0
2.932567083×10^0,4.040386900×10^-2,1.827525258×10^0,1.468078613×10^0
2.942515083×10^0,-4.569635987×10^-1,2.057536840×10^0,1.359711885×10^0
2.952462583×10^0,-5.031017661×10^-1,1.784084558×10^0,8.316664100×10^-1
2.962410583×10^0,1.327216029×10^-1,7.273826599×10^-1,4.144838825×10^-2
2.972359583×10^0,1.170902729×10^0,-3.236570358×10^-1,-7.184793353×10^-1
2.982307583×10^0,1.805319190×10^0,-2.017603517×10^-1,-1.393402457×10^0
2.992255583×10^0,2.196679354×10^0,3.005208671×10^-1,-1.999842048×10^0
3.002203583×10^0,2.699017525×10^0,9.108081460×10^-1,-2.708066702×10^0
3.012151583×10^0,3.960704565×10^0,2.485158205×10^0,-3.622608900×10^0
3.022100583×10^0,5.212734699×10^0,4.691504955×10^0,-4.899888515×10^0
3.032048583×10^0,5.632575989×10^0,6.212673187×10^0,-6.236904144×10^0
3.041996583×10^0,5.388923168×10^0,6.034917355×10^0,-7.136999607×10^0
3.051944583×10^0,4.902753353×10^0,3.119422197×10^0,-7.394035339×10^0
3.061892583×10^0,4.339915752×10^0,-3.162356853×10^0,-6.408374786×10^0
3.071840583×10^0,3.493054628×10^0,-7.522655964×10^0,-3.554145575×10^0
3.081789583×10^0,2.787848949×10^0,-6.652377605×10^0,2.662166953×10^-2
3.091737583×10^0,2.968909979×10^0,-6.125374317×10^0,1.773657203×10^0
3.101685583×10^0,2.806530476×10^0,-6.490814686×10^0,8.955326080×10^-1
3.111633583×10^0,2.029172659×10^0,-5.902973175×10^0,-2.185981750×10^0
3.121581583×10^0,1.097253561×10^0,-5.227273464×10^0,-4.650683403×10^0
3.131530583×10^0,7.905748487×10^-1,-4.397396564×10^0,-4.881081104×10^0
3.141478583×10^0,3.534148633×10^-1,-2.886061430×10^0,-3.574668169×10^0
3.151426583×10^0,-3.725064099×10^-1,-1.416236758×10^-1,-1.487746954×10^0
3.161374583×10^0,-9.760084748×10^-1,2.762234449×10^0,4.209395349×10^-1
3.171322583×10^0,-1.438367367×10^0,4.886391163×10^0,1.389167666×10^0
3.181270583×10^0,-1.641898274×10^0,5.960610390×10^0,1.933694839×10^0
3.191219583×10^0,-1.738954782×10^0,6.291481495×10^0,2.321829081×10^0
3.201167583×10^0,-1.854558945×10^0,6.192666531×10^0,2.521615028×10^0
3.211115583×10^0,-1.936047792×10^0,5.865385532×10^0,2.596663475×10^0
