"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.092105583×10^0,-7.035369873×10^-3,7.424560547×10^-2,9.838141479×10^0
3.102055583×10^0,-1.496887207×10^-2,9.250762939×10^-2,9.839638367×10^0
3.112005583×10^0,-1.796264648×10^-2,9.624984741×10^-2,9.849667511×10^0
3.121954583×10^0,-2.424957275×10^-2,1.055305481×10^-1,9.841434631×10^0
3.131904583×10^0,-2.155517578×10^-2,1.203497314×10^-1,9.854756927×10^0
3.141854583×10^0,-3.472778320×10^-2,1.294807434×10^-1,9.842482452×10^0
3.151804583×10^0,-2.320175171×10^-2,1.405577087×10^-1,9.857151947×10^0
3.161753250×10^0,-3.367996216×10^-2,1.520837402×10^-1,9.846973114×10^0
3.171703250×10^0,-3.188369751×10^-2,1.495390320×10^-1,9.845027161×10^0
3.181653250×10^0,-3.562591553×10^-2,1.619631958×10^-1,9.851314087×10^0
3.191603250×10^0,-3.921844482×10^-2,1.519340515×10^-1,9.845027161×10^0
3.201552250×10^0,-3.757186890×10^-2,1.324745178×10^-1,9.843380585×10^0
3.211502250×10^0,-1.960922241×10^-2,1.216969299×10^-1,9.846823425×10^0
3.221452250×10^0,-1.002914429×10^-2,8.771759033×10^-2,9.848470001×10^0
3.231402250×10^0,7.484436035×10^-4,8.427474976×10^-2,9.849218445×10^0
