"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.078940875×10^0,-9.825567627×10^-1,8.847202148×10^0,-3.569177856×10^0
2.088890875×10^0,-1.091530151×10^0,8.406069489×10^0,-2.728376312×10^0
2.098839875×10^0,-1.031804352×10^0,8.226143646×10^0,-1.865420837×10^0
2.108788875×10^0,-8.737330627×10^-1,8.225095825×10^0,-1.281784515×10^0
2.118738875×10^0,-7.589218140×10^-1,8.291856995×10^0,-8.875044250×10^-1
2.128687875×10^0,-7.720944214×10^-1,8.463250580×10^0,-7.467970276×10^-1
2.138637875×10^0,-9.086105347×10^-1,8.698411560×10^0,-8.487350464×10^-1
2.148586875×10^0,-9.142987061×10^-1,9.128167877×10^0,-1.057850189×10^0
2.158535875×10^0,-4.150868225×10^-1,9.698032837×10^0,-1.112336884×10^0
2.168485875×10^0,8.337661743×10^-2,1.021805145×10^1,-1.124910736×10^0
2.178434875×10^0,3.671864319×10^-1,1.059496765×10^1,-1.171912994×10^0
2.188383875×10^0,4.421804810×10^-1,1.076636124×10^1,-1.121767273×10^0
2.198333875×10^0,4.751119995×10^-1,1.068942123×10^1,-1.130898285×10^0
2.208282875×10^0,5.309458923×10^-1,1.048838928×10^1,-1.192570038×10^0
2.218232875×10^0,3.528163147×10^-1,1.025816803×10^1,-1.309177551×10^0
2.228181875×10^0,1.496887207×10^-2,1.012329849×10^1,-1.364263000×10^0
2.238130875×10^0,-3.200344849×10^-1,1.009650421×10^1,-1.442999268×10^0
2.248080875×10^0,-6.990463257×10^-1,1.002884491×10^1,-1.585652618×10^0
2.258029875×10^0,-9.999206543×10^-1,1.001776794×10^1,-1.581012268×10^0
2.267979875×10^0,-1.134341125×10^0,1.009575577×10^1,-1.455722809×10^0
2.277928875×10^0,-1.244661713×10^0,1.019365219×10^1,-1.428778839×10^0
2.287877875×10^0,-1.379980316×10^0,1.032403107×10^1,-1.492845612×10^0
2.297827875×10^0,-1.528172150×10^0,1.040246796×10^1,-1.690434723×10^0
2.307776875×10^0,-1.666933594×10^0,1.060724213×10^1,-1.869462433×10^0
2.317726875×10^0,-1.633253632×10^0,1.082488953×10^1,-2.049088898×10^0
2.327675875×10^0,-1.237626343×10^0,1.091769653×10^1,-2.088007965×10^0
2.337624875×10^0,-7.003935242×10^-1,1.096559692×10^1,-2.027533722×10^0
2.347574875×10^0,-4.290078735×10^-1,1.107082809×10^1,-1.981728973×10^0
2.357523875×10^0,-2.401007080×10^-1,1.128503265×10^1,-1.882036285×10^0
2.367473875×10^0,7.110214233×10^-2,1.157797348×10^1,-1.686243439×10^0
2.377422875×10^0,3.945794678×10^-1,1.188708069×10^1,-1.576970673×10^0
2.387371875×10^0,6.409671021×10^-1,1.217104019×10^1,-1.593286743×10^0
2.397321875×10^0,7.450007629×10^-1,1.251322861×10^1,-1.682351532×10^0
2.407270875×10^0,6.963519287×10^-1,1.291304718×10^1,-1.736239471×10^0
2.417220875×10^0,4.472698975×10^-1,1.331840424×10^1,-1.640887756×10^0
2.427169875×10^0,1.076261902×10^-1,1.377106293×10^1,-1.280886383×10^0
2.437118875×10^0,-1.423539734×10^-1,1.422117691×10^1,-7.463479614×10^-1
2.447068875×10^0,-3.303630066×10^-1,1.442400513×10^1,-2.073188782×10^-1
2.457017875×10^0,-5.595364380×10^-1,1.426084442×10^1,1.694476318×10^-1
2.466967875×10^0,-7.327262878×10^-1,1.382345398×10^1,5.144801331×10^-1
2.476916875×10^0,-6.355783081×10^-1,1.311677353×10^1,8.460406494×10^-1
2.486865875×10^0,-3.288661194×10^-1,1.217343521×10^1,1.156644745×10^0
2.496815875×10^0,8.921447754×10^-2,1.097622482×10^1,1.430126038×10^0
2.506764875×10^0,6.376739502×10^-1,9.721833344×10^0,1.545985107×10^0
2.516714875×10^0,1.090632019×10^0,8.590935059×10^0,1.319356384×10^0
2.526663875×10^0,1.471140747×10^0,7.599247284×10^0,9.839039612×10^-1
2.536612875×10^0,1.864073639×10^0,6.904841309×10^0,5.983058167×10^-1
2.546562875×10^0,2.377955017×10^0,6.885681152×10^0,1.336720276×10^-1
2.556511875×10^0,2.707868958×10^0,7.583230591×10^0,-4.855902100×10^-1
2.566461875×10^0,2.720592499×10^0,8.740174713×10^0,-1.316362610×10^0
2.576410875×10^0,2.299967194×10^0,9.660910034×10^0,-2.104174347×10^0
2.586359875×10^0,1.678309937×10^0,1.028136978×10^1,-2.477348328×10^0
2.596309875×10^0,9.334588623×10^-1,1.133083740×10^1,-2.493514709×10^0
2.606258875×10^0,1.221459961×10^-1,1.180415314×10^1,-2.633473663×10^0
2.616208875×10^0,-5.246589661×10^-1,1.172212372×10^1,-2.804268494×10^0
2.626157875×10^0,-9.009764099×10^-1,1.139670044×10^1,-2.820734253×10^0
2.636106875×10^0,-9.014254761×10^-1,1.080228653×10^1,-2.692900085×10^0
2.646056875×10^0,-4.703219604×10^-1,1.004471191×10^1,-2.293380890×10^0
2.656005875×10^0,-8.741821289×10^-2,9.531129913×10^0,-1.891466675×10^0
2.665955875×10^0,-2.514770508×10^-2,9.103169861×10^0,-1.672771454×10^0
2.675904875×10^0,-9.145980835×10^-2,8.785680084×10^0,-1.627864838×10^0
2.685853875×10^0,-9.849517822×10^-2,8.664132843×10^0,-1.648821259×10^0
2.695803875×10^0,-4.101470947×10^-2,8.649014282×10^0,-1.830693054×10^0
2.705752875×10^0,-1.466949463×10^-2,8.704099731×10^0,-2.071991272×10^0
2.715702875×10^0,-1.631607056×10^-2,9.055119781×10^0,-2.198029175×10^0
2.725651875×10^0,-9.026229858×10^-2,9.531429291×10^0,-2.175575867×10^0
2.735600875×10^0,-4.508624268×10^-1,9.943522339×10^0,-1.981878662×10^0
2.745550875×10^0,-6.813830566×10^-1,1.034124527×10^1,-1.758992157×10^0
2.755500750×10^0,-9.566606140×10^-1,1.037821838×10^1,-1.695374451×10^0
2.765450750×10^0,-1.461111603×10^0,9.895322571×10^0,-1.808090057×10^0
2.775399750×10^0,-1.781146088×10^0,9.011710052×10^0,-1.920655975×10^0
2.785348750×10^0,-1.821711731×10^0,8.009693756×10^0,-2.036814423×10^0
2.795298750×10^0,-1.676663361×10^0,7.081623688×10^0,-2.660866699×10^0
2.805247750×10^0,-1.242715759×10^0,6.370901642×10^0,-3.219804382×10^0
2.815197750×10^0,-7.267387390×10^-1,5.926026764×10^0,-3.322790222×10^0
2.825146750×10^0,-4.206253052×10^-1,5.642965393×10^0,-3.201392670×10^0
2.835095750×10^0,-2.468367004×10^-1,5.605543213×10^0,-3.069965973×10^0
2.845045750×10^0,-2.935395813×10^-1,5.647306366×10^0,-3.044069824×10^0
2.854994750×10^0,-4.421804810×10^-1,5.846841431×10^0,-3.163671112×10^0
2.864944750×10^0,-6.740483093×10^-1,6.176455994×10^0,-3.420986023×10^0
2.874893750×10^0,-9.671388245×10^-1,6.475683746×10^0,-3.730093231×10^0
2.884842750×10^0,-1.281036072×10^0,6.649023285×10^0,-4.037553864×10^0
2.894792750×10^0,-1.532962189×10^0,6.573280792×10^0,-4.261039124×10^0
2.904741750×10^0,-1.660646667×10^0,6.228847046×10^0,-4.316723328×10^0
2.914690750×10^0,-1.685045929×10^0,5.873785400×10^0,-4.293072510×10^0
2.924640750×10^0,-1.647773438×10^0,5.646258545×10^0,-4.408332825×10^0
2.934589750×10^0,-1.503174133×10^0,5.594615936×10^0,-4.647685089×10^0
2.944539750×10^0,-1.343605957×10^0,5.778134308×10^0,-4.857099609×10^0
2.954488750×10^0,-1.265767822×10^0,6.140231323×10^0,-5.032085724×10^0
2.964437750×10^0,-1.297501831×10^0,6.661597137×10^0,-5.247936859×10^0
2.974387750×10^0,-1.511407013×10^0,7.220534821×10^0,-5.502407684×10^0
2.984336750×10^0,-1.857936401×10^0,7.740254059×10^0,-5.702990570×10^0
2.994286750×10^0,-2.353256378×10^0,8.196654968×10^0,-5.864504700×10^0
3.004235750×10^0,-2.845881958×10^0,8.604407043×10^0,-5.862558746×10^0
3.014184750×10^0,-3.302731934×10^0,8.991352386×10^0,-5.649551697×10^0
3.024134750×10^0,-3.684587860×10^0,9.517059174×10^0,-5.476511536×10^0
3.034083750×10^0,-3.945794678×10^0,1.043629761×10^1,-5.475314026×10^0
3.044033750×10^0,-3.960015106×10^0,1.190384583×10^1,-5.342091064×10^0
3.053982750×10^0,-3.385060730×10^0,1.383991974×10^1,-4.764891357×10^0
3.063931750×10^0,-2.331401825×10^0,1.607222763×10^1,-3.770658875×10^0
3.073881750×10^0,-1.174457703×10^0,1.790351944×10^1,-2.741848297×10^0
3.083830750×10^0,3.643423462×10^-1,1.829570389×10^1,-1.649120636×10^0
3.093780750×10^0,2.396067352×10^0,1.708831467×10^1,-7.185058594×10^-1
3.103729750×10^0,3.917653198×10^0,1.505479340×10^1,-2.040257263×10^-1
3.113678750×10^0,4.193828888×10^0,1.247386047×10^1,-4.330494690×10^-1
3.123628750×10^0,3.165916443×10^0,9.851164398×10^0,-1.009949799×10^0
3.133577750×10^0,2.155667267×10^0,7.784112854×10^0,-1.442101135×10^0
3.143527750×10^0,1.628912659×10^0,6.304589539×10^0,-1.721420288×10^0
3.153476750×10^0,1.399888916×10^0,5.351072388×10^0,-1.922003174×10^0
3.163425750×10^0,1.317410431×10^0,4.969964905×10^0,-1.959874420×10^0
3.173375750×10^0,1.408570862×10^0,5.265151062×10^0,-1.752256165×10^0
3.183324750×10^0,1.472937012×10^0,6.095324707×10^0,-1.440155182×10^0
3.193274750×10^0,1.333277435×10^0,7.071295166×10^0,-1.270408173×10^0
3.203223750×10^0,1.133892059×10^0,8.104147339×10^0,-1.115330658×10^0
3.213172750×10^0,9.150471497×10^-1,9.143735504×10^0,-9.071136475×10^-1
3.223122750×10^0,7.156617737×10^-1,1.003064117×10^1,-5.225633240×10^-1
3.233071750×10^0,5.318440247×10^-1,1.081830322×10^1,-2.050735474×10^-2
3.243021750×10^0,4.469705200×10^-1,1.135748199×10^1,4.495152283×10^-1
