"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.029957208×10^0,-4.699926453×10^0,4.812043304×10^0,6.399192810×10^-1
2.039906208×10^0,-5.593568115×10^0,4.747527466×10^0,7.426057434×10^-1
2.049855208×10^0,-6.418951721×10^0,4.171674957×10^0,9.548643494×10^-1
2.059804208×10^0,-5.995182953×10^0,3.802392883×10^0,9.714797974×10^-1
2.069753208×10^0,-5.157225494×10^0,3.183729401×10^0,1.437760162×10^0
2.079703208×10^0,-4.071084137×10^0,1.783990173×10^0,1.335822144×10^0
2.089652208×10^0,-3.224744110×10^0,1.368304596×10^0,2.362237701×10^0
2.099601208×10^0,-3.205134888×10^0,2.560724945×10^0,3.533402252×10^0
2.109550208×10^0,-2.359992371×10^0,4.561913452×10^0,4.866679688×10^0
2.119499208×10^0,-1.024768982×10^0,6.592440948×10^0,6.820716248×10^0
2.129449208×10^0,-1.250649261×10^0,7.377707977×10^0,7.539521484×10^0
2.139398208×10^0,-6.770570526×10^0,6.950047302×10^0,1.303788757×10^0
2.149347208×10^0,-6.335575104×10^0,8.410709839×10^0,-4.282145233×10^0
2.159296208×10^0,3.273692322×10^-1,9.994566193×10^0,-3.868106232×10^0
2.169245208×10^0,-1.679806824×10^0,9.078920288×10^0,-1.055949142×10^1
2.179195208×10^0,-4.809199219×10^0,6.608008575×10^0,-1.513278122×10^1
2.189144208×10^0,-3.791914673×10^0,4.936284943×10^0,-6.546785889×10^0
2.199093208×10^0,-5.153183899×10^0,4.148772583×10^0,-5.328918457×10^-2
2.209042208×10^0,-6.862329712×10^0,4.515959015×10^0,1.933978271×10^0
2.218991208×10^0,-7.322921906×10^0,5.190905457×10^0,2.385439453×10^0
2.228941208×10^0,-7.327412567×10^0,5.079387360×10^0,6.062393188×10^-1
2.238890208×10^0,-7.023993530×10^0,4.368964691×10^0,-1.445693665×10^0
2.248839208×10^0,-7.261998596×10^0,3.822750549×10^0,-2.093247070×10^0
2.258788208×10^0,-7.447013855×10^0,3.963757324×10^0,-1.097517700×10^0
