"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.186625833×10^0,-1.090874076×10^0,1.360842347×10^0,-2.471678853×10^-1
2.196574833×10^0,-1.263453126×10^0,1.636314988×10^0,-3.090069294×10^-1
2.206524833×10^0,-1.426736593×10^0,1.790670991×10^0,-3.269819319×10^-1
2.216474833×10^0,-1.554937124×10^0,1.846442580×10^0,-2.995679379×10^-1
2.226423833×10^0,-1.681551814×10^0,1.929849505×10^0,-2.529756427×10^-1
2.236373833×10^0,-1.778181434×10^0,1.998972893×10^0,-2.463029921×10^-1
2.246322833×10^0,-1.839658856×10^0,2.009281874×10^0,-2.594246566×10^-1
2.256272833×10^0,9.976508617×10^-1,-8.777621984×10^-1,2.402037084×10^-1
2.266222833×10^0,6.661033034×10^-1,-4.563384950×10^-1,-1.036226451×10^-1
2.276171833×10^0,2.183404714×10^-1,-2.131943554×10^-1,-2.212732434×10^-1
2.286121833×10^0,-1.398847848×10^-1,1.465070993×10^-1,-2.406189740×10^-1
2.296071833×10^0,-4.717977047×10^-1,4.379329681×10^-1,-2.566806376×10^-1
2.306020833×10^0,-7.816865444×10^-1,7.505894303×10^-1,-2.299300134×10^-1
2.315970833×10^0,3.515831530×10^-1,-6.539832950×10^-1,8.884618059×10^-3
2.325919833×10^0,-7.406937331×10^-2,-7.116805762×10^-2,-1.605864316×10^-1
2.335869833×10^0,1.582392305×10^-1,-3.155108094×10^-1,-6.920328736×10^-2
2.345819833×10^0,-1.703725569×10^-2,-2.152297348×10^-1,-1.448061764×10^-1
2.355768833×10^0,4.298763722×10^-2,-2.777246833×10^-1,-1.362997741×10^-1
2.365718833×10^0,3.854947910×10^-2,-3.139351308×10^-1,-1.521967202×10^-1
2.375668833×10^0,3.859462216×10^-2,-3.494288027×10^-1,-1.644359231×10^-1
2.385617833×10^0,3.661456332×10^-2,-3.984461427×10^-1,-1.491395235×10^-1
2.395567833×10^0,1.559302025×10^-2,-4.450727403×10^-1,-8.064348251×10^-2
2.405516833×10^0,1.276234630×10^-2,-4.209362566×10^-1,-6.600435078×10^-2
2.415466833×10^0,2.648438886×10^-2,-4.050518572×10^-1,-1.201959029×10^-1
2.425416833×10^0,3.185572103×10^-2,-4.394953251×10^-1,-1.566393971×10^-1
2.435365833×10^0,3.529270738×10^-2,-5.070824623×10^-1,-1.658448577×10^-1
2.445315833×10^0,4.200067744×10^-2,-7.775504589×10^-1,-2.151082754×10^-1
2.455264833×10^0,3.690398857×10^-2,-1.117078543×10^0,-2.156545818×10^-1
2.465214833×10^0,4.388733208×10^-2,-1.343630433×10^0,-2.548414171×10^-1
2.475164833×10^0,4.953839257×10^-2,-8.337429166×10^-1,-2.846397161×10^-1
2.485113833×10^0,4.856873304×10^-2,-1.229910925×10^-2,-2.524405122×10^-1
2.495063833×10^0,4.062637687×10^-2,5.194528699×10^-1,-1.842375398×10^-1
