"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.033255958×10^0,-1.443148956×10^0,-1.336869965×10^0,1.094673615×10^0
3.043204958×10^0,-8.298742676×10^-1,-1.712438965×10^0,1.435514832×10^0
3.053152958×10^0,-1.437011719×10^-1,-2.225871277×10^0,1.636696472×10^0
3.063100958×10^0,4.062551880×10^-1,-2.468217316×10^0,1.897005157×10^0
3.073048958×10^0,9.056167603×10^-1,-2.370021515×10^0,2.454445953×10^0
3.082997958×10^0,1.582509155×10^0,-2.172582092×10^0,2.719544678×10^0
3.092946208×10^0,2.474953308×10^0,-1.992356873×10^0,2.747087402×10^0
3.102894208×10^0,3.322191467×10^0,-1.767823792×10^0,2.671195221×10^0
3.112842208×10^0,4.068988495×10^0,-1.917811890×10^0,2.555934906×10^0
3.122791208×10^0,4.666246490×10^0,-3.084635468×10^0,2.522554321×10^0
3.132739208×10^0,4.230203247×10^0,-3.414699097×10^0,2.339634705×10^-1
3.142687208×10^0,4.906496887×10^0,-3.507206726×10^0,-2.402354279×10^0
3.152635208×10^0,5.459297333×10^0,-2.459984436×10^0,-4.530478821×10^0
3.162584208×10^0,4.303550720×10^0,3.319796448×10^0,-1.121692429×10^1
3.172532208×10^0,1.462009735×10^0,8.039182434×10^0,-1.301229080×10^1
3.182480208×10^0,-6.478527832×10^-1,8.666976929×10^0,-7.451354828×10^0
3.192428208×10^0,-2.292033691×10^0,1.144954056×10^1,-2.861299896×10^0
3.202377208×10^0,-1.822909241×10^0,2.659788940×10^1,4.887486420×10^0
3.212325208×10^0,-3.937561798×10^0,5.280434280×10^1,1.686602692×10^1
3.222273208×10^0,-1.310330154×10^1,5.174409760×10^1,8.710985413×10^0
3.232221208×10^0,-1.653551422×10^1,2.886193130×10^1,-1.118923187×10^0
3.242170208×10^0,-1.213167206×10^1,1.622940079×10^1,-5.245092773×10^0
3.252118208×10^0,-9.590107269×10^0,1.259944931×10^1,-5.612428894×10^0
