"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.652139292×10^0,2.343556285×10^-1,3.362885714×10^-1,5.088799000×10^-1
1.662089292×10^0,1.457572132×10^-1,1.152491719×10^-1,4.099677503×10^-1
1.672039292×10^0,2.715066448×10^-2,-1.978959590×10^-1,2.578069568×10^-1
1.681988292×10^0,-1.780480519×10^-2,-4.821515083×10^-1,1.167760417×10^-1
1.691938292×10^0,4.573129490×10^-2,-6.417925358×10^-1,4.439318553×10^-2
1.701888292×10^0,1.529841572×10^-1,-6.706432700×10^-1,4.299313575×10^-2
1.711837292×10^0,2.560178638×10^-1,-6.486540437×10^-1,8.522288501×10^-2
1.721787292×10^0,3.198524714×10^-1,-6.641207933×10^-1,1.166588888×10^-1
1.731736292×10^0,3.520343602×10^-1,-7.449074984×10^-1,1.344466805×10^-1
1.741686292×10^0,3.629203737×10^-1,-8.857244849×10^-1,1.571191549×10^-1
1.751636292×10^0,3.845470846×10^-1,-1.051448941×10^0,1.845427901×10^-1
1.761585292×10^0,4.240752757×10^-1,-1.171903014×10^0,2.197043300×10^-1
1.771535292×10^0,4.555626214×10^-1,-1.226503611×10^0,2.831014395×10^-1
1.781485292×10^0,4.546523690×10^-1,-1.246993661×10^0,3.622820377×10^-1
1.791434292×10^0,4.160943031×10^-1,-1.246048212×10^0,4.151348472×10^-1
1.801384292×10^0,3.532365561×10^-1,-1.219992161×10^0,4.295613468×10^-1
1.811334292×10^0,2.907702327×10^-1,-1.152585387×10^0,4.295451045×10^-1
1.821283292×10^0,2.342244536×10^-1,-1.012044311×10^0,4.299029112×10^-1
1.831233292×10^0,1.753997505×10^-1,-8.643901944×10^-1,3.808093965×10^-1
1.841183292×10^0,8.091055602×10^-2,-8.195084333×10^-1,2.586064339×10^-1
1.851132292×10^0,-3.673618287×10^-2,-8.134454489×10^-1,7.929898798×10^-2
1.861082292×10^0,-1.439931244×10^-1,-7.151141167×10^-1,-1.413955688×10^-1
1.871032292×10^0,-2.178484499×10^-1,-4.736216366×10^-1,-3.687711954×10^-1
1.880981292×10^0,-2.538453341×10^-1,-1.541303247×10^-1,-5.747932792×10^-1
1.890931292×10^0,-2.752241194×10^-1,1.762816757×10^-1,-7.331544161×10^-1
1.900880292×10^0,-3.062354624×10^-1,4.815964103×10^-1,-7.985749245×10^-1
1.910830292×10^0,-3.387965858×10^-1,7.230862379×10^-1,-7.825868726×10^-1
1.920780292×10^0,-3.613656163×10^-1,8.223834634×10^-1,-7.261450887×10^-1
1.930729292×10^0,-3.571610153×10^-1,8.104138970×10^-1,-6.458763480×10^-1
1.940679292×10^0,-3.167791367×10^-1,7.580536008×10^-1,-5.483385921×10^-1
1.950629292×10^0,-2.352962643×10^-1,7.367346883×10^-1,-4.185363948×10^-1
1.960578292×10^0,-8.954140544×10^-2,7.396030426×10^-1,-2.714730203×10^-1
1.970528292×10^0,1.277110279×10^-1,7.092890739×10^-1,-1.447621882×10^-1
1.980478292×10^0,4.468871653×10^-1,6.535905004×10^-1,-8.236414194×10^-2
1.990427292×10^0,8.416030407×10^-1,5.082458258×10^-1,-1.078292876×10^-1
2.000377292×10^0,1.287846208×10^0,1.812434345×10^-1,-1.937993765×10^-1
2.010327292×10^0,1.724807024×10^0,-2.754849792×10^-1,-2.890193760×10^-1
2.020276292×10^0,2.089684248×10^0,-8.116966486×10^-1,-3.413710594×10^-1
2.030226292×10^0,2.338507414×10^0,-1.423048139×10^0,-3.561609089×10^-1
2.040176292×10^0,2.421156406×10^0,-2.082830191×10^0,-3.233534098×10^-1
2.050125292×10^0,2.409153223×10^0,-2.592160702×10^0,-2.589491308×10^-1
2.060075292×10^0,2.343528271×10^0,-2.847446203×10^0,-1.762444973×10^-1
2.070025292×10^0,2.206172943×10^0,-2.852685452×10^0,-8.223251998×10^-2
2.079974292×10^0,2.064465284×10^0,-2.665937901×10^0,1.242753770×10^-2
2.089924292×10^0,1.901430964×10^0,-2.301184893×10^0,8.657420427×10^-2
2.099873292×10^0,1.718763947×10^0,-1.813133359×10^0,8.448887616×10^-2
2.109823292×10^0,1.529810548×10^0,-1.283146739×10^0,6.210850552×10^-3
2.119773292×10^0,1.331527591×10^0,-8.453397751×10^-1,-1.946923733×10^-1
2.129722292×10^0,1.167355657×10^0,-4.981650114×10^-1,-4.579929709×10^-1
