"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.565773667×10^0,-2.697450519×10^-1,4.367779732×10^0,-2.230594873×10^0
1.575723667×10^0,-3.697673380×10^-1,4.694022179×10^0,-2.758941174×10^0
1.585673667×10^0,-7.848865390×10^-1,3.504597664×10^0,-2.493471146×10^0
1.595622667×10^0,-1.168620944×10^0,1.690976620×10^0,-1.844782591×10^0
1.605572667×10^0,-1.161647201×10^0,4.013456106×10^-1,-1.137009740×10^0
1.615522667×10^0,-8.592315912×10^-1,-2.156247199×10^-1,-4.957238436×10^-1
1.625472667×10^0,-4.338546991×10^-1,-2.990320027×10^-1,1.116359234×10^-2
1.635422667×10^0,-3.132093325×10^-2,-3.340567648×10^-2,3.731232584×10^-1
1.645372667×10^0,2.708908319×10^-1,3.250121176×10^-1,5.481722951×10^-1
1.655321667×10^0,3.740660250×10^-1,6.299345493×10^-1,5.273067951×10^-1
1.665271667×10^0,2.449629009×10^-1,8.000833392×10^-1,3.608078361×10^-1
1.675221667×10^0,-5.197873712×10^-2,8.554754853×10^-1,1.194274873×10^-1
1.685171667×10^0,-3.890078962×10^-1,8.886443377×10^-1,-9.869872034×10^-2
1.695121667×10^0,-6.391351819×10^-1,9.981655478×10^-1,-2.102235407×10^-1
1.705071667×10^0,-7.578639388×10^-1,1.163913727×10^0,-2.597964108×10^-1
1.715021667×10^0,-7.698133588×10^-1,1.310002327×10^0,-2.880339622×10^-1
1.724970667×10^0,-7.142262459×10^-1,1.363305211×10^0,-3.056656718×10^-1
1.734920667×10^0,-6.452527642×10^-1,1.270070910×10^0,-2.999678552×10^-1
1.744870667×10^0,-5.755410194×10^-1,1.081909537×10^0,-2.697793245×10^-1
1.754820667×10^0,-5.106794834×10^-1,8.784465194×10^-1,-2.328702509×10^-1
1.764770667×10^0,-4.397722781×10^-1,7.132844925×10^-1,-1.923486590×10^-1
1.774720667×10^0,-3.734566569×10^-1,6.102346182×10^-1,-1.522433758×10^-1
1.784669667×10^0,-3.259083033×10^-1,5.694371462×10^-1,-1.179096326×10^-1
1.794619667×10^0,-3.021016419×10^-1,5.802582502×10^-1,-7.935353369×10^-2
1.804569667×10^0,-2.901102006×10^-1,6.173310876×10^-1,-5.017328635×10^-2
1.814519667×10^0,-2.858200073×10^-1,6.643716097×10^-1,-1.965081505×10^-2
1.824469667×10^0,-2.760073245×10^-1,6.948221922×10^-1,1.288369112×10^-2
1.834419667×10^0,-2.597520947×10^-1,7.039386630×10^-1,4.055438936×10^-2
1.844369667×10^0,-2.448892742×10^-1,6.960434318×10^-1,6.061438099×10^-2
1.854318667×10^0,-2.287794650×10^-1,6.712855101×10^-1,6.708643585×10^-2
1.864268667×10^0,-2.142386138×10^-1,6.329868436×10^-1,5.981521308×10^-2
1.874218667×10^0,-1.963894367×10^-1,5.901899934×10^-1,5.010833591×10^-2
1.884168667×10^0,-1.822557747×10^-1,5.457090735×10^-1,3.677495196×10^-2
1.894118667×10^0,-1.669956744×10^-1,5.101808310×10^-1,2.911438979×10^-2
1.904068667×10^0,-1.479426324×10^-1,4.885472059×10^-1,3.089790978×10^-2
1.914017667×10^0,-1.386217624×10^-1,4.736323953×10^-1,3.426508978×10^-2
1.923967667×10^0,-1.305633038×10^-1,4.859133065×10^-1,3.780629486×10^-2
1.933917667×10^0,-1.310021877×10^-1,5.170297027×10^-1,4.129822925×10^-2
1.943867667×10^0,-1.401797086×10^-1,5.648451447×10^-1,3.571411595×10^-2
1.953817667×10^0,-1.537491828×10^-1,6.273927689×10^-1,4.456494376×10^-2
1.963767667×10^0,-1.736256778×10^-1,6.875690222×10^-1,5.790071934×10^-2
1.973717667×10^0,-1.908545345×10^-1,7.332782745×10^-1,5.826180428×10^-2
1.983666667×10^0,-2.044678032×10^-1,7.537478805×10^-1,4.063088447×10^-2
1.993616667×10^0,-2.087017596×10^-1,7.482090592×10^-1,2.303122729×10^-2
2.003566667×10^0,-1.975502968×10^-1,7.237327695×10^-1,1.532430481×10^-2
2.013516667×10^0,-1.768446118×10^-1,6.991649270×10^-1,1.865414716×10^-2
2.023466667×10^0,-1.427500248×10^-1,6.893357038×10^-1,2.495332249×10^-2
2.033416667×10^0,-1.062712148×10^-1,6.851498485×10^-1,1.929885708×10^-2
2.043365667×10^0,-6.911639124×10^-2,6.853407621×10^-1,1.509960275×10^-4
2.053315667×10^0,-2.293356694×10^-2,6.993644834×10^-1,-5.392247345×10^-3
2.063265667×10^0,2.360517345×10^-2,7.208199501×10^-1,-2.506712452×10^-3
2.073215667×10^0,6.645841897×10^-2,7.410904765×10^-1,1.290174201×10^-2
2.083165667×10^0,9.391614795×10^-2,7.535913587×10^-1,1.081648655×10^-2
2.093115667×10^0,1.111646369×10^-1,7.746744752×10^-1,1.252133865×10^-2
2.103065667×10^0,1.222540364×10^-1,8.011007309×10^-1,1.226993557×10^-2
2.113014667×10^0,1.371180713×10^-1,8.232173324×10^-1,-7.342299446×10^-3
2.122964667×10^0,1.534618884×10^-1,8.206964135×10^-1,-4.717253521×10^-2
2.132914667×10^0,1.699397415×10^-1,7.888945341×10^-1,-1.009604186×10^-1
2.142864667×10^0,1.824416965×10^-1,7.285909653×10^-1,-1.648816168×10^-1
2.152814667×10^0,1.924249828×10^-1,6.308964491×10^-1,-2.345467359×10^-1
2.162764667×10^0,2.028978616×10^-1,5.318651795×10^-1,-3.038648367×10^-1
2.172713667×10^0,2.111230046×10^-1,4.685731232×10^-1,-3.676965535×10^-1
2.182663667×10^0,2.307955176×10^-1,4.591908157×10^-1,-4.235006869×10^-1
2.192613667×10^0,2.711645961×10^-1,5.157908201×10^-1,-4.675616026×10^-1
2.202563667×10^0,3.296798170×10^-1,6.324708462×10^-1,-5.157858729×10^-1
2.212513667×10^0,3.867768645×10^-1,7.837308049×10^-1,-5.553036332×10^-1
2.222463667×10^0,4.277320206×10^-1,9.429175854×10^-1,-5.614813566×10^-1
2.232413667×10^0,4.357404709×10^-1,1.109674573×10^0,-5.395064950×10^-1
2.242362667×10^0,4.026395082×10^-1,1.265914679×10^0,-5.252987742×10^-1
2.252312667×10^0,3.427538574×10^-1,1.405207276×10^0,-6.285967827×10^-1
2.262262667×10^0,2.771836221×10^-1,1.565080881×10^0,-8.040559888×10^-1
2.272212667×10^0,2.289555222×10^-1,1.776563764×10^0,-9.878122807×10^-1
2.282162667×10^0,2.259320468×10^-1,2.018330812×10^0,-1.126440763×10^0
2.292112667×10^0,2.564242780×10^-1,2.264203787×10^0,-1.188729882×10^0
2.302061667×10^0,2.979869246×10^-1,2.435110092×10^0,-1.136465073×10^0
2.312012333×10^0,3.295277953×10^-1,2.536758900×10^0,-9.854908586×10^-1
2.321962333×10^0,3.785161078×10^-1,2.552412748×10^0,-8.002112508×10^-1
2.331912333×10^0,4.656276405×10^-1,2.414396524×10^0,-6.328670382×10^-1
2.341862333×10^0,5.689945221×10^-1,2.124037981×10^0,-5.062925816×10^-1
2.351812333×10^0,6.590142846×10^-1,1.728309870×10^0,-4.240044951×10^-1
2.361762333×10^0,7.428715825×10^-1,1.268329263×10^0,-3.933765292×10^-1
2.371711333×10^0,8.227292895×10^-1,8.338772655×10^-1,-4.144100845×10^-1
2.381661333×10^0,8.719676733×10^-1,5.143735409×10^-1,-4.478718936×10^-1
2.391611333×10^0,8.315533400×10^-1,3.019253910×10^-1,-5.047367215×10^-1
2.401561333×10^0,7.095994353×10^-1,1.910976768×10^-1,-5.858094692×10^-1
2.411511333×10^0,5.395749211×10^-1,1.484709382×10^-1,-6.530398726×10^-1
2.421461333×10^0,3.237371743×10^-1,1.584798992×10^-1,-7.198820114×10^-1
2.431410333×10^0,8.471193165×10^-2,2.975313067×10^-1,-8.227648735×10^-1
2.441360333×10^0,-1.354950070×10^-1,5.900864601×10^-1,-9.380384684×10^-1
2.451310333×10^0,-2.720085084×10^-1,9.668696523×10^-1,-1.088532686×10^0
2.461260333×10^0,-2.287425399×10^-1,1.285867095×10^0,-1.359186053×10^0
2.471210333×10^0,-1.909588277×10^-2,1.461329699×10^0,-1.626167178×10^0
2.481160333×10^0,2.171083987×10^-1,1.459716439×10^0,-1.725950718×10^0
2.491109333×10^0,4.529127777×10^-1,1.216008306×10^0,-1.634697795×10^0
2.501059333×10^0,6.402323246×10^-1,8.315782547×10^-1,-1.333569646×10^0
2.511009333×10^0,7.559742928×10^-1,5.474273562×10^-1,-9.998507500×10^-1
2.520959333×10^0,8.066670299×10^-1,4.988477826×10^-1,-7.770949006×10^-1
2.530909333×10^0,7.996582389×10^-1,5.670427084×10^-1,-6.334756613×10^-1
2.540859333×10^0,7.694222927×10^-1,6.974031329×10^-1,-5.611535311×10^-1
2.550809333×10^0,7.273443341×10^-1,8.607397079×10^-1,-5.326018333×10^-1
2.560758333×10^0,6.772283912×10^-1,1.020354033×10^0,-5.836948156×10^-1
2.570708333×10^0,6.321937442×10^-1,1.098462701×10^0,-6.936835051×10^-1
2.580658333×10^0,5.988855362×10^-1,1.041745901×10^0,-8.297846317×10^-1
2.590608333×10^0,5.486931801×10^-1,9.016919136×10^-1,-9.807263613×10^-1
2.600558333×10^0,4.738740623×10^-1,7.203085423×10^-1,-1.126643658×10^0
2.610508333×10^0,3.748025298×10^-1,5.298025608×10^-1,-1.233614922×10^0
2.620458333×10^0,2.393190116×10^-1,3.786189258×10^-1,-1.310334802×10^0
2.630407333×10^0,7.437707484×10^-2,2.643954158×10^-1,-1.352527261×10^0
2.640357333×10^0,-1.010416150×10^-1,2.166848928×10^-1,-1.338793159×10^0
2.650307333×10^0,-2.736355066×10^-1,2.465428859×10^-1,-1.288143873×10^0
2.660257333×10^0,-4.312376678×10^-1,2.895683646×10^-1,-1.184802055×10^0
2.670207333×10^0,-5.468367934×10^-1,3.745725751×10^-1,-1.037745476×10^0
2.680157333×10^0,-6.215922236×10^-1,5.194706321×10^-1,-8.829894662×10^-1
2.690106333×10^0,-6.374726295×10^-1,6.351137161×10^-1,-7.557047606×10^-1
2.700056333×10^0,-6.079677343×10^-1,6.706054211×10^-1,-6.086232066×10^-1
2.710006333×10^0,-5.375024676×10^-1,6.580028534×10^-1,-4.852244258×10^-1
2.719956333×10^0,-4.750766158×10^-1,6.188908815×10^-1,-3.845130205×10^-1
2.729906333×10^0,-4.336114526×10^-1,5.251621008×10^-1,-2.756959498×10^-1
2.739856333×10^0,-4.289802313×10^-1,3.867233098×10^-1,-1.919722855×10^-1
2.749805333×10^0,-4.705280364×10^-1,2.222311348×10^-1,-1.213683411×10^-1
2.759755333×10^0,-5.517838001×10^-1,6.552807987×10^-2,-6.509681791×10^-2
2.769705333×10^0,-6.702120304×10^-1,-5.207203701×10^-2,1.524416730×10^-3
2.779655333×10^0,-8.074468374×10^-1,-1.208433732×10^-1,1.053525433×10^-1
2.789605333×10^0,-9.430986047×10^-1,-1.325741261×10^-1,2.594959438×10^-1
2.799555333×10^0,-1.056404114×10^0,-7.073100656×10^-2,4.454048276×10^-1
2.809505333×10^0,-1.133549571×10^0,6.035573781×10^-2,6.454876661×10^-1
2.819454333×10^0,-1.183228731×10^0,2.377678007×10^-1,8.317211866×10^-1
2.829404333×10^0,-1.220320344×10^0,4.062137604×10^-1,9.720780253×10^-1
2.839354333×10^0,-1.265870571×10^0,4.985759258×10^-1,1.050123572×10^0
2.849304333×10^0,-1.351077914×10^0,4.992111027×10^-1,1.048493147×10^0
2.859254333×10^0,-1.454950452×10^0,4.177188873×10^-1,9.798435569×10^-1
2.869204333×10^0,-1.510972023×10^0,2.729409635×10^-1,8.915110230×10^-1
2.879153333×10^0,-1.417263627×10^0,6.644187123×10^-2,8.824567795×10^-1
