"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.182677542×10^0,-7.443870392×10^0,8.413583862×10^1,1.195129715×10^1
3.192627542×10^0,1.541344757×10^0,3.909914291×10^1,3.062930603×10^0
3.202577542×10^0,-2.031575317×10^0,1.996278717×10^1,2.736908569×10^0
3.212527542×10^0,-3.957769775×10^0,2.061063995×10^1,3.594026184×10^-1
3.222477542×10^0,-4.644541626×10^0,2.695399887×10^1,-1.136736145×10^0
3.232427542×10^0,-2.803969116×10^0,2.993325348×10^1,-2.720442810×10^0
3.242377542×10^0,-7.162605286×10^-1,2.754437119×10^1,-2.877915344×10^0
3.252327542×10^0,1.164578247×10^0,2.228924927×10^1,-1.732347565×10^0
3.262277542×10^0,2.358345795×10^0,1.756956390×10^1,-1.060843964×10^0
3.272227542×10^0,2.329755249×10^0,1.376402756×10^1,-1.406175842×10^0
3.282177542×10^0,2.175575867×10^0,1.053868469×10^1,-2.077978821×10^0
3.292127542×10^0,1.845811615×10^0,8.297245789×10^0,-2.572550354×10^0
