"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.358088292×10^0,1.402583122×10^0,-2.666357160×10^-1,-1.480634809×10^-1
1.368038292×10^0,1.201735854×10^0,-1.697326303×10^-1,-8.313733339×10^-2
1.377988292×10^0,9.584519267×10^-1,-4.822457954×10^-2,3.237384371×10^-4
1.387938292×10^0,7.912006378×10^-1,-9.227379411×10^-2,6.492436677×10^-2
1.397888292×10^0,6.814789176×10^-1,-1.087861881×10^-1,1.443861574×10^-1
1.407838292×10^0,6.277637482×10^-1,-1.489242017×10^-1,1.968556195×10^-1
1.417788292×10^0,5.559156537×10^-1,-6.742668897×10^-2,2.343755662×10^-1
1.427738292×10^0,4.888640344×10^-1,5.714422464×10^-2,2.467062175×10^-1
1.437688292×10^0,3.684146106×10^-1,1.687442511×10^-1,2.536954591×10^-3
1.447638292×10^0,2.947047949×10^-1,2.425719202×10^-1,2.732484229×10^-2
1.457588292×10^0,2.521253824×10^-1,3.348861635×10^-1,3.887576982×10^-2
1.467538292×10^0,2.244948000×10^-1,3.968456089×10^-1,1.054375544×10^-1
1.477488292×10^0,2.055418789×10^-1,2.698783278×10^-1,2.600628138×10^-1
1.487438292×10^0,2.277988195×10^-1,-5.145557225×10^-2,4.241361916×10^-1
1.497388292×10^0,2.717220783×10^-1,-1.204700619×10^-1,6.096653342×10^-1
1.507338292×10^0,3.481932878×10^-1,-1.299650222×10^-1,5.981462002×10^-1
1.517288292×10^0,3.833928406×10^-1,-9.335028380×10^-2,5.032042861×10^-1
1.527238292×10^0,3.772362471×10^-1,3.530335426×10^-1,4.679801762×10^-1
1.537188292×10^0,4.147599339×10^-1,5.807574987×10^-1,3.423636556×10^-1
1.547139292×10^0,2.407532483×10^-1,5.270175338×10^-1,7.461165637×10^-2
1.557089292×10^0,1.330315769×10^-1,5.769725442×10^-1,-6.611669809×10^-2
1.567039292×10^0,1.740547866×10^-1,4.904400706×10^-1,1.254349854×10^-2
1.576989292×10^0,2.402548492×10^-1,2.863114178×10^-1,3.972984478×10^-2
