"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.216052125×10^0,-2.386038208×10^-1,9.790241089×10^0,9.017248535×10^-1
2.226002125×10^0,-1.568737793×10^-1,9.787247314×10^0,7.809260559×10^-1
2.235952125×10^0,-6.271957397×10^-2,9.796378326×10^0,8.927435303×10^-1
2.245902125×10^0,-4.595443726×10^-2,9.781110077×10^0,8.668473816×10^-1
2.255851125×10^0,7.140151978×10^-2,9.789941711×10^0,8.641529846×10^-1
2.265801125×10^0,6.002517700×10^-2,9.784852295×10^0,9.574090576×10^-1
2.275751125×10^0,3.996688843×10^-2,9.784852295×10^0,9.448352051×10^-1
2.285701125×10^0,1.422042847×10^-1,9.789792023×10^0,9.041198730×10^-1
2.295651125×10^0,9.325607300×10^-2,9.801018677×10^0,8.246351624×10^-1
2.305601125×10^0,-2.050735474×10^-2,9.788295135×10^0,7.595205688×10^-1
2.315551125×10^0,-6.182144165×10^-2,9.789642334×10^0,7.161108398×10^-1
2.325501125×10^0,-2.574645996×10^-2,9.792187042×10^0,7.644602966×10^-1
2.335451125×10^0,-2.814147949×10^-2,9.790839844×10^0,8.638536072×10^-1
2.345400125×10^0,-1.766326904×10^-2,9.791288910×10^0,8.994795227×10^-1
2.355350125×10^0,-3.502716064×10^-2,9.782008209×10^0,9.434880066×10^-1
2.365300125×10^0,-5.523513794×10^-2,9.787696381×10^0,9.647438049×10^-1
2.375250125×10^0,-8.831634521×10^-3,9.779613190×10^0,9.174421692×10^-1
2.385200125×10^0,-9.430389404×10^-3,9.782457275×10^0,8.578660583×10^-1
2.395150125×10^0,3.861968994×10^-2,9.791737976×10^0,7.740403748×10^-1
2.405100125×10^0,5.792953491×10^-2,9.788594513×10^0,7.298822021×10^-1
2.415050125×10^0,3.682342529×10^-2,9.783804474×10^0,7.418572998×10^-1
2.425000125×10^0,5.822891235×10^-2,9.792935486×10^0,7.550299072×10^-1
2.434950125×10^0,6.376739502×10^-2,9.804910583×10^0,7.873626709×10^-1
2.444899125×10^0,3.667373657×10^-2,9.808952179×10^0,8.207432556×10^-1
2.454849125×10^0,-7.095245361×10^-2,9.788295135×10^0,8.282276917×10^-1
2.464799125×10^0,-7.065307617×10^-2,9.785900116×10^0,8.146060181×10^-1
2.474749125×10^0,-4.221221924×10^-2,9.792486420×10^0,8.066725159×10^-1
2.484699125×10^0,-1.616638184×10^-2,9.781259766×10^0,7.957452393×10^-1
2.494649125×10^0,1.451980591×10^-2,9.791887665×10^0,7.791297913×10^-1
2.504599125×10^0,1.960922241×10^-2,9.790091400×10^0,7.728428650×10^-1
2.514549125×10^0,6.212081909×10^-2,9.790690155×10^0,7.899073792×10^-1
2.524499125×10^0,9.011260986×10^-2,9.807006226×10^0,9.274713135×10^-1
2.534448125×10^0,-2.320175171×10^-2,9.793384552×10^0,9.087602234×10^-1
2.544398125×10^0,-1.362167358×10^-2,9.782756653×10^0,8.168513489×10^-1
2.554348125×10^0,2.694396973×10^-2,9.796078949×10^0,8.707392883×10^-1
2.564298125×10^0,2.918930054×10^-2,9.807754669×10^0,9.258247375×10^-1
2.574248125×10^0,-6.586303711×10^-3,9.800719299×10^0,8.662486267×10^-1
2.584198125×10^0,-4.730163574×10^-2,9.797276459×10^0,8.180488586×10^-1
2.594148125×10^0,-1.886077881×10^-2,9.800719299×10^0,7.906558228×10^-1
2.604098125×10^0,-3.592529297×10^-2,9.792187042×10^0,8.035290527×10^-1
2.614048125×10^0,-5.807922363×10^-2,9.792037354×10^0,8.717871094×10^-1
2.623998125×10^0,1.197509766×10^-2,9.777218170×10^0,8.402027893×10^-1
2.633947125×10^0,1.556762695×10^-2,9.791887665×10^0,8.916957092×10^-1
2.643897125×10^0,3.951782227×10^-2,9.786049805×10^0,9.370513916×10^-1
2.653847125×10^0,2.529739380×10^-2,9.788893890×10^0,9.136999512×10^-1
2.663797125×10^0,8.382568359×10^-3,9.792336731×10^0,8.822653198×10^-1
2.673747125×10^0,-2.245330811×10^-3,9.792785797×10^0,8.873547363×10^-1
2.683697125×10^0,-8.532257080×10^-3,9.792785797×10^0,8.851094055×10^-1
2.693647125×10^0,-4.490661621×10^-4,9.792187042×10^0,8.800199890×10^-1
2.703597125×10^0,-3.921844482×10^-2,9.792785797×10^0,8.761280823×10^-1
2.713547125×10^0,-3.278182983×10^-2,9.791887665×10^0,8.695417786×10^-1
2.723497125×10^0,2.933898926×10^-2,9.794582062×10^0,8.901988220×10^-1
2.733446125×10^0,3.742218018×10^-2,9.790241089×10^0,8.870553589×10^-1
2.743396125×10^0,4.924758911×10^-2,9.797426147×10^0,8.792715454×10^-1
2.753346125×10^0,4.281097412×10^-2,9.790989532×10^0,8.409512329×10^-1
2.763296125×10^0,7.783813477×10^-3,9.804910583×10^0,8.017327881×10^-1
2.773246125×10^0,6.137237549×10^-3,9.793534241×10^0,7.569758606×10^-1
2.783196125×10^0,1.886077881×10^-2,9.794282684×10^0,7.188052368×10^-1
2.793146125×10^0,3.188369751×10^-2,9.795180817×10^0,7.355703735×10^-1
2.803096125×10^0,3.113525391×10^-2,9.800868988×10^0,7.444020081×10^-1
