"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.333382708×10^0,1.269699931×10^-1,5.115490556×10^-1,1.924762130×10^-1
1.343332708×10^0,1.522838622×10^-1,5.416734219×10^-1,2.071840465×10^-1
1.353282708×10^0,1.789643466×10^-1,5.540869236×10^-1,2.175180018×10^-1
1.363233708×10^0,1.941078901×10^-1,5.491046906×10^-1,2.238526046×10^-1
1.373183708×10^0,1.838876903×10^-1,5.343084335×10^-1,2.323831469×10^-1
1.383133708×10^0,1.511254758×10^-1,5.232241154×10^-1,2.333852947×10^-1
1.393083708×10^0,1.040836573×10^-1,5.056212544×10^-1,2.369422317×10^-1
1.403033708×10^0,5.319544673×10^-2,4.922413230×10^-1,2.356982678×10^-1
1.412983708×10^0,2.066080272×10^-2,4.745978415×10^-1,2.353074551×10^-1
1.422934708×10^0,1.570146531×10^-2,4.528041482×10^-1,2.226734161×10^-1
1.432884708×10^0,2.741052583×10^-2,4.166370034×10^-1,2.095426172×10^-1
1.442834708×10^0,4.787025973×10^-2,3.978372216×10^-1,2.051643878×10^-1
1.452784708×10^0,6.621815264×10^-2,3.892066181×10^-1,1.945941448×10^-1
1.462734708×10^0,8.449143171×10^-2,3.875381649×10^-1,1.649481058×10^-1
1.472684708×10^0,8.859276026×10^-2,4.091307819×10^-1,1.558852047×10^-1
1.482635708×10^0,7.346867025×10^-2,4.495591521×10^-1,1.560460627×10^-1
1.492585708×10^0,4.587129131×10^-2,4.574238658×10^-1,1.466864347×10^-1
1.502535708×10^0,1.521457918×10^-2,4.173115790×10^-1,1.210985109×10^-1
1.512485708×10^0,-1.542108040×10^-2,3.805889189×10^-1,9.028090537×10^-2
1.522435708×10^0,-5.121529475×10^-2,3.836906850×10^-1,7.301963121×10^-2
1.532385708×10^0,-9.366218001×10^-2,4.347712398×10^-1,7.050213963×10^-2
1.542336708×10^0,-1.391883940×10^-1,5.089445114×10^-1,8.297851682×10^-2
1.552286708×10^0,-1.830902100×10^-1,5.465427041×10^-1,1.023007110×10^-1
1.562236708×10^0,-2.106216997×10^-1,5.216314793×10^-1,1.277514696×10^-1
1.572186708×10^0,-2.099217921×10^-1,4.357934892×10^-1,1.402642280×10^-1
1.582136708×10^0,-1.709352434×10^-1,3.257042766×10^-1,1.615103930×10^-1
1.592086708×10^0,-1.050977781×10^-1,2.578318119×10^-1,1.938727796×10^-1
1.602037708×10^0,-3.343504667×10^-2,2.158806473×10^-1,2.259353697×10^-1
1.611987708×10^0,3.615352139×10^-2,2.305767238×10^-1,2.496982515×10^-1
1.621937708×10^0,9.160186350×10^-2,2.911918759×10^-1,2.601106763×10^-1
1.631887708×10^0,1.113968343×10^-1,3.694061935×10^-1,2.556923628×10^-1
1.641837708×10^0,9.560641646×10^-2,4.450292885×10^-1,2.344056964×10^-1
1.651787708×10^0,4.982972890×10^-2,4.999581575×10^-1,2.046253532×10^-1
1.661738708×10^0,-1.513086259×10^-3,5.272302628×10^-1,1.729523689×10^-1
1.671688708×10^0,-4.011560604×10^-2,5.080105066×10^-1,1.442493498×10^-1
1.681638708×10^0,-6.327232718×10^-2,4.544473886×10^-1,1.289143413×10^-1
1.691588708×10^0,-8.183694631×10^-2,4.176892042×10^-1,1.200819463×10^-1
1.701538708×10^0,-9.945055842×10^-2,3.902961910×10^-1,8.979940414×10^-2
1.711488708×10^0,-1.183246449×10^-1,3.633067608×10^-1,7.017482817×10^-2
1.721439708×10^0,-1.255974621×10^-1,3.274790049×10^-1,6.927973777×10^-2
1.731389708×10^0,-1.104323491×10^-1,2.735635936×10^-1,8.199067414×10^-2
1.741339708×10^0,-6.692828238×10^-2,2.225960195×10^-1,1.005563736×10^-1
1.751289708×10^0,-2.413281426×10^-2,1.893534511×10^-1,1.087392792×10^-1
1.761239708×10^0,-3.340981901×10^-3,1.972965896×10^-1,9.973752499×10^-2
1.771189708×10^0,-1.959872618×10^-2,2.457836717×10^-1,6.722974032×10^-2
1.781140708×10^0,-6.579472125×10^-2,3.131320775×10^-1,2.959954366×10^-2
1.791090708×10^0,-1.327211559×10^-1,4.128269255×10^-1,-9.136777371×10^-3
1.801040708×10^0,-2.054518163×10^-1,4.971774817×10^-1,-2.908651531×10^-2
1.810990708×10^0,-2.682034373×10^-1,5.331760645×10^-1,-2.938826755×10^-2
1.820940708×10^0,-3.032479584×10^-1,5.149701834×10^-1,-1.796836406×10^-2
1.830890708×10^0,-2.926456630×10^-1,4.368005693×10^-1,9.499744512×10^-3
1.840841708×10^0,-2.428256422×10^-1,3.298346996×10^-1,3.391054645×10^-2
1.850791708×10^0,-1.698676348×10^-1,2.419191152×10^-1,4.554561526×10^-2
1.860741708×10^0,-8.628911525×10^-2,2.281108946×10^-1,3.594465181×10^-2
1.870691708×10^0,-2.047441527×10^-2,2.174467891×10^-1,3.439469263×10^-2
1.880641708×10^0,4.983274266×10^-3,2.112243176×10^-1,6.708978862×10^-2
1.890591708×10^0,3.295632824×10^-2,2.154410034×10^-1,5.293720216×10^-2
1.900542708×10^0,5.507068336×10^-2,2.016783208×10^-1,3.335897252×10^-2
1.910492708×10^0,6.932689250×10^-2,2.017694563×10^-1,3.674957529×10^-2
1.920442708×10^0,7.982826978×10^-2,1.734147817×10^-1,4.805522785×10^-2
1.930392708×10^0,9.400086105×10^-2,1.363932788×10^-1,3.839233890×10^-2
1.940342708×10^0,9.455080330×10^-2,1.131606549×10^-1,2.674713358×10^-2
1.950292708×10^0,8.745614439×10^-2,1.043205559×10^-1,1.821809448×10^-2
1.960243708×10^0,7.286974788×10^-2,1.096623242×10^-1,1.796269789×10^-2
1.970193708×10^0,6.166790426×10^-2,1.055009663×10^-1,3.307387978×10^-2
1.980143708×10^0,9.760619700×10^-2,1.320753247×10^-1,2.957688831×10^-2
1.990093708×10^0,1.505912393×10^-1,6.322895736×10^-2,5.083441362×10^-2
2.000043708×10^0,1.974999011×10^-1,-6.272356026×10^-3,7.663858682×10^-2
2.009993708×10^0,2.418221980×10^-1,-3.617727757×10^-2,6.585058570×10^-2
2.019944708×10^0,2.681635022×10^-1,-3.951901197×10^-2,3.471343219×10^-2
2.029894708×10^0,2.555746138×10^-1,-8.103580214×10^-3,-6.296720356×10^-3
2.039844708×10^0,2.100657374×10^-1,4.318197817×10^-2,-4.166536406×10^-2
2.049794708×10^0,1.486441046×10^-1,9.347709268×10^-2,-7.428992540×10^-2
2.059744708×10^0,8.632533252×10^-2,1.362956613×10^-1,-1.010397747×10^-1
2.069694708×10^0,3.865564615×10^-2,1.673616618×10^-1,-1.261408776×10^-1
2.079645708×10^0,1.145305298×10^-2,1.946079284×10^-1,-1.379559785×10^-1
2.089595708×10^0,2.398602478×10^-2,1.942857653×10^-1,-1.400291473×10^-1
2.099545708×10^0,5.800391361×10^-2,1.295046359×10^-1,-1.460633427×10^-1
2.109495708×10^0,8.790381253×10^-2,3.296175599×10^-2,-1.457915753×10^-1
2.119445708×10^0,8.967587352×10^-2,-3.073147126×10^-2,-1.310275495×10^-1
2.129395708×10^0,6.745826453×10^-2,-4.874162003×10^-2,-1.164701432×10^-1
2.139347417×10^0,4.151481390×10^-2,-4.047117382×10^-2,-9.834226966×10^-2
2.149297417×10^0,3.526455164×10^-2,-3.010875732×10^-2,-7.088320702×10^-2
2.159247417×10^0,5.667823181×10^-2,3.379885107×10^-2,-3.246098012×10^-2
2.169197417×10^0,8.891467005×10^-2,8.016707748×10^-2,-1.257709507×10^-2
2.179147417×10^0,1.483122110×10^-1,1.457127929×10^-1,-2.396424115×10^-2
2.189097417×10^0,1.989196986×10^-1,2.802371681×10^-1,-8.409965783×10^-3
2.199047417×10^0,2.247813940×10^-1,3.455709219×10^-1,7.534387987×10^-4
2.208998417×10^0,2.358474582×10^-1,3.472066820×10^-1,-1.571983844×10^-2
2.218948417×10^0,2.335273176×10^-1,2.987174392×10^-1,-1.519306470×10^-2
