"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.975048750×10^0,-1.762734375×10^0,1.432296524×10^1,-3.606600037×10^0
2.984998750×10^0,-1.732347565×10^0,1.878144379×10^1,-3.497626648×10^0
2.994948750×10^0,-9.864486694×10^-2,2.239463013×10^1,-4.456382904×10^0
3.004898750×10^0,1.516197052×10^0,2.052771240×10^1,-4.791685638×10^0
3.014848750×10^0,1.957629089×10^0,1.549562668×10^1,-5.793552246×10^0
3.024799750×10^0,1.488354950×10^0,1.183498901×10^1,-7.905959473×10^0
3.034749750×10^0,5.502557373×10^-1,9.469907227×10^0,-1.021326141×10^1
3.044699750×10^0,-7.779322815×10^-1,7.746241608×10^0,-1.188019501×10^1
3.054649750×10^0,-1.797162781×10^0,7.963140564×10^0,-1.136646332×10^1
3.064599750×10^0,-2.595602417×10^0,1.089524323×10^1,-9.011710052×10^0
3.074549750×10^0,-2.237247620×10^0,1.433598816×10^1,-6.792574768×10^0
3.084499750×10^0,9.136999512×10^-1,1.627909744×10^1,-4.220024414×10^0
3.094449750×10^0,4.598587189×10^0,1.587029755×10^1,-8.247848511×10^-1
3.104399750×10^0,6.842271423×10^0,1.312755112×10^1,1.650318146×10^0
3.114349750×10^0,6.918313293×10^0,9.370364227×10^0,1.958826599×10^0
3.124299750×10^0,5.602399750×10^0,5.810616760×10^0,1.306632843×10^0
3.134249750×10^0,3.323239288×10^0,3.482208710×10^0,4.432283020×10^-1
3.144199750×10^0,1.413360901×10^0,2.429597626×10^0,-2.483335876×10^-1
3.154150750×10^0,2.793191528×10^-1,2.295925598×10^0,-1.214424591×10^0
3.164100750×10^0,-6.491999817×10^-1,2.932551727×10^0,-2.356998596×10^0
3.174050750×10^0,-1.328487396×10^0,3.782035217×10^0,-2.668949890×10^0
3.184000750×10^0,-1.242715759×10^0,4.630919952×10^0,-2.118544464×10^0
3.193950750×10^0,-9.777667236×10^-1,5.832321625×10^0,-1.458566895×10^0
3.203900750×10^0,-6.312373352×10^-1,7.200925598×10^0,-6.677613831×10^-1
3.213850750×10^0,1.956431580×10^-1,8.688382416×10^0,1.836680603×10^-1
3.223800750×10^0,1.242566071×10^0,9.799072723×10^0,1.502425690×10^0
3.233750750×10^0,2.041903839×10^0,1.079869400×10^1,3.353925476×10^0
3.243700750×10^0,3.235072632×10^0,1.206685684×10^1,4.372257843×10^0
3.253650750×10^0,4.850363617×10^0,1.361284195×10^1,3.266207886×10^0
3.263600750×10^0,5.176834717×10^0,1.526839920×10^1,1.503323822×10^0
3.273550750×10^0,5.154231720×10^0,1.625948822×10^1,-1.326990509×10^0
