"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.188513125×10^0,1.053808594×10^-1,-1.440005493×10^-1,9.971065063×10^0
2.198463125×10^0,-6.258485413×10^-1,5.649252319×10^-1,1.033181488×10^1
2.208413125×10^0,-1.579814758×10^0,1.260379028×10^0,1.070049820×10^1
2.218362125×10^0,-2.414928131×10^0,2.099683685×10^0,1.088491470×10^1
2.228312125×10^0,-2.821782074×10^0,3.274740143×10^0,1.050530411×10^1
2.238262125×10^0,-2.995870056×10^0,2.217937775×10^0,8.226892090×10^0
2.248212125×10^0,-3.504362640×10^0,1.858385468×10^0,7.774832153×10^0
2.258161125×10^0,-2.845432892×10^0,1.549577637×10^0,7.638016663×10^0
2.268111125×10^0,-2.570454712×10^0,5.566923523×10^-1,7.680378571×10^0
2.278061125×10^0,-1.659000092×10^0,1.326242065×10^-1,8.901389465×10^0
2.288010125×10^0,-1.471589813×10^0,1.204994202×10^0,9.596992950×10^0
2.297960125×10^0,-1.788331146×10^0,1.287622375×10^0,8.948242035×10^0
2.307910125×10^0,-1.561852112×10^0,8.403524780×10^-1,7.906408539×10^0
2.317860125×10^0,-1.779499512×10^0,7.674540710×10^-1,6.987020416×10^0
2.327809125×10^0,-2.506687317×10^0,1.428629150×10^0,7.506140900×10^0
2.337759125×10^0,-2.697091370×10^0,1.578168182×10^0,7.730374603×10^0
2.347709125×10^0,-2.632874908×10^0,1.687440948×10^0,7.461234283×10^0
2.357658125×10^0,-2.764451294×10^0,1.302291870×10^0,4.890031128×10^0
2.367608125×10^0,-5.037474518×10^0,-6.589297485×10^-1,6.471043396×10^-1
2.377558125×10^0,-5.599555664×10^0,-1.781295776×10^-1,2.568808136×10^0
2.387508125×10^0,-4.375550995×10^0,1.690883789×10^0,4.156706085×10^0
2.397457125×10^0,-3.025209045×10^0,2.529589691×10^0,6.639143829×10^0
2.407407125×10^0,-3.500919800×10^0,2.001188507×10^0,9.488768005×10^0
2.417357125×10^0,-4.541705475×10^0,1.738634491×10^0,1.049482590×10^1
2.427306125×10^0,-5.066514130×10^0,2.145488434×10^0,1.072310120×10^1
2.437256125×10^0,-4.709805908×10^0,3.584296417×10^0,1.140463394×10^1
2.447206125×10^0,-5.232219543×10^0,4.008065186×10^0,1.121273300×10^1
2.457156125×10^0,-5.109923859×10^0,4.172124023×10^0,1.030546967×10^1
2.467105125×10^0,-5.095853119×10^0,4.091890869×10^0,1.028451324×10^1
2.477055125×10^0,-4.944817200×10^0,4.065246277×10^0,1.036220169×10^1
2.487005125×10^0,-4.690496063×10^0,3.766916656×10^0,1.038345749×10^1
2.496954125×10^0,-5.793103180×10^0,3.174748077×10^0,1.114746872×10^1
2.506904125×10^0,-6.476132812×10^0,2.832409973×10^0,1.101484451×10^1
2.516854125×10^0,-6.627767487×10^0,2.875969391×10^0,1.062685135×10^1
2.526804125×10^0,-7.471263428×10^0,2.600242767×10^0,1.018826340×10^1
2.536753125×10^0,-7.035968628×10^0,4.126319275×10^0,1.009051666×10^1
2.546703125×10^0,-6.893614655×10^0,4.194876709×10^0,1.007420059×10^1
2.556653125×10^0,-7.767796783×10^0,3.112477570×10^0,9.221873016×10^0
2.566602125×10^0,-8.126001892×10^0,1.404379578×10^0,9.277706909×10^0
2.576552125×10^0,-6.496939545×10^0,9.580078125×10^-1,8.653205566×10^0
2.586502125×10^0,-6.016738129×10^0,7.511380005×10^-1,7.992479553×10^0
2.596452125×10^0,-5.900429993×10^0,1.649120636×10^0,7.761060791×10^0
2.606401125×10^0,-5.322182465×10^0,3.268303528×10^0,7.442972260×10^0
2.616351125×10^0,-2.944826202×10^0,4.352049866×10^0,6.777156830×10^0
2.626301125×10^0,-5.418731689×10^-2,6.270759888×10^0,5.703888702×10^0
2.636251125×10^0,-6.735992432×10^-1,6.271358643×10^0,4.491559753×10^0
2.646200125×10^0,-1.972448273×10^0,5.610482941×10^0,3.510799255×10^0
2.656150125×10^0,-2.755020905×10^0,5.357958069×10^0,3.820654907×10^0
2.666100125×10^0,-3.625760193×10^0,5.525759125×10^0,5.708229675×10^0
2.676049125×10^0,-5.906567230×10^0,4.692891083×10^0,1.129850464×10^1
2.685999125×10^0,-6.255491638×10^0,4.412224731×10^0,1.188453598×10^1
2.695949125×10^0,-4.982538757×10^0,4.868326263×10^0,8.844657440×10^0
