"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.386713000×10^0,-6.586303711×10^0,2.999312897×10^0,-1.937271423×10^0
2.396663000×10^0,-6.353388062×10^0,3.114573212×10^0,-1.897753601×10^0
2.406613000×10^0,-6.252497864×10^0,3.481160889×10^0,-2.542762299×10^0
2.416563000×10^0,-5.858367462×10^0,4.330345001×10^0,-2.838397522×10^0
2.426513000×10^0,-4.591551819×10^0,4.659510498×10^0,-1.690584412×10^0
2.436463000×10^0,-3.337759094×10^0,4.249513092×10^0,-3.652404785×10^-1
2.446413000×10^0,-3.993395691×10^0,3.874542847×10^0,-3.144960022×10^-1
2.456363000×10^0,-3.729793854×10^0,3.091521149×10^0,-3.040177917×10^-1
2.466313000×10^0,-2.332599335×10^0,2.398612061×10^0,1.445094910×10^0
2.476263000×10^0,2.168989563×10^-1,3.395239563×10^0,2.813100128×10^0
2.486213000×10^0,2.753374329×10^0,6.483617249×10^0,3.523971863×10^0
2.496163000×10^0,6.509513397×10^0,1.039812698×10^1,2.376158752×10^0
2.506112000×10^0,6.242169342×10^0,1.155761581×10^1,-1.507066040×10^0
2.516062000×10^0,-1.520837402×10^0,9.101373596×10^0,-3.756737823×10^0
2.526012000×10^0,-1.030546967×10^1,5.173840942×10^0,-1.685644684×10^0
2.535962000×10^0,-1.113878677×10^1,3.499572601×10^0,-1.533411255×10^0
2.545912000×10^0,-8.764873352×10^0,4.249363403×10^0,-3.067570953×10^0
2.555862000×10^0,-7.104376373×10^0,5.956263885×10^0,-6.502627716×10^0
2.565812000×10^0,-4.335135040×10^0,7.905211029×10^0,-8.867410126×10^0
2.575762000×10^0,-6.845265198×10^-1,1.216714828×10^1,-8.752449188×10^0
2.585712000×10^0,1.972298584×10^0,1.598795288×10^1,-7.153923340×10^0
2.595662000×10^0,3.353476410×10^0,2.016995636×10^1,-4.788841553×10^0
2.605612000×10^0,4.777016144×10^0,2.782877975×10^1,-2.477947083×10^0
2.615562000×10^0,6.297853546×10^0,3.112791916×10^1,-8.288264465×10^-1
2.625512000×10^0,5.890999603×10^0,2.852513168×10^1,8.837622070×10^-1
2.635462000×10^0,2.627935181×10^0,1.985965164×10^1,2.890489197×10^0
2.645411000×10^0,-2.808160400×10^-1,1.278626083×10^1,2.878065033×10^0
2.655361000×10^0,-2.489024048×10^0,8.800798645×10^0,2.602338409×10^0
2.665311000×10^0,-4.534071350×10^0,6.674170990×10^0,1.614542542×10^0
2.675261000×10^0,-5.088817749×10^0,6.023923187×10^0,7.773335266×10^-1
2.685211000×10^0,-4.300856323×10^0,6.828050995×10^0,4.291575623×10^-1
2.695161000×10^0,-3.384162598×10^0,7.785909119×10^0,6.122268677×10^-2
2.705111000×10^0,-2.966680756×10^0,8.069868622×10^0,-4.751119995×10^-1
2.715061000×10^0,-3.124153290×10^0,8.437953186×10^0,-1.130000153×10^0
2.725011000×10^0,-2.320474548×10^0,8.234226837×10^0,-1.346749420×10^0
2.734961000×10^0,-1.267264709×10^0,7.918233948×10^0,-2.114802246×10^0
2.744911000×10^0,2.903961182×10^-1,8.399483185×10^0,-3.646716614×10^0
2.754861000×10^0,2.493814087×10^-1,9.008117523×10^0,-2.633323975×10^0
2.764811000×10^0,-2.246228943×10^0,9.293274536×10^0,-5.966592407×10^-1
2.774760000×10^0,-3.986510010×10^0,9.560468903×10^0,-9.699829102×10^-2
2.784710000×10^0,-5.118905182×10^0,9.547595673×10^0,1.692380676×10^0
2.794660000×10^0,-5.984555054×10^0,9.827962646×10^0,2.918331299×10^0
2.804610000×10^0,-6.504723358×10^0,1.007494904×10^1,2.945424957×10^0
2.814560000×10^0,-6.622079315×10^0,1.004620880×10^1,1.667083282×10^0
2.824510000×10^0,-6.171665955×10^0,9.937834167×10^0,-3.903881836×10^-1
2.834460000×10^0,-5.460045776×10^0,9.596843262×10^0,-1.883982239×10^0
2.844410000×10^0,-5.003794556×10^0,9.021589508×10^0,-2.216590576×10^0
2.854360000×10^0,-4.687951355×10^0,8.525072021×10^0,-1.540746002×10^0
2.864310000×10^0,-4.414769440×10^0,8.279881897×10^0,-5.786965942×10^-1
2.874260000×10^0,-4.198169861×10^0,8.153694305×10^0,-3.996688843×10^-2
2.884210000×10^0,-4.151916046×10^0,8.122858429×10^0,1.953437805×10^-1
2.894160000×10^0,-4.199067993×10^0,8.141419830×10^0,2.676434326×10^-1
2.904110000×10^0,-4.252955933×10^0,8.206235046×10^0,2.513273621×10^-1
2.914059000×10^0,-4.257147217×10^0,8.282276917×10^0,2.183958435×10^-1
2.924009000×10^0,-4.239184570×10^0,8.344098358×10^0,2.165995789×10^-1
2.933959000×10^0,-4.175117798×10^0,8.422385559×10^0,2.917433167×10^-1
2.943909000×10^0,-4.143084412×10^0,8.479267273×10^0,3.936813354×10^-1
2.953859000×10^0,-4.120930481×10^0,8.446335754×10^0,4.306544495×10^-1
2.963809000×10^0,-4.098327484×10^0,8.387208710×10^0,4.805007935×10^-1
2.973759000×10^0,-3.978726196×10^0,8.314609680×10^0,5.462141418×10^-1
