"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.037160667×10^0,3.891714096×10^0,7.621060610×10^-1,-3.886585712×10^0
2.047108667×10^0,3.290513992×10^0,1.387660801×10^-1,-3.278441191×10^0
2.057057667×10^0,3.087741613×10^0,-7.948337495×10^-2,-2.890866518×10^0
2.067005667×10^0,3.157245159×10^0,-3.596138358×10^-1,-2.821398497×10^0
2.076953667×10^0,3.167200089×10^0,-4.289961755×10^-1,-2.904587984×10^0
2.086902667×10^0,2.988483191×10^0,-3.173660636×10^-1,-3.030553579×10^0
2.096850667×10^0,2.747036219×10^0,-1.967009604×10^-1,-3.121016502×10^0
2.106799667×10^0,2.552785873×10^0,-1.127109751×10^-1,-3.073073149×10^0
2.116747667×10^0,2.471909761×10^0,-2.719328105×10^-1,-2.863421917×10^0
2.126696667×10^0,2.380860329×10^0,-5.594277382×10^-1,-2.485963583×10^0
2.136644667×10^0,2.279699802×10^0,-8.875331283×10^-1,-2.121524096×10^0
2.146592667×10^0,2.217582226×10^0,-9.661552310×10^-1,-1.854336977×10^0
2.156541667×10^0,2.153990746×10^0,-9.180756807×10^-1,-1.867654324×10^0
2.166489667×10^0,1.980766535×10^0,-9.255245328×10^-1,-1.945618629×10^0
2.176438667×10^0,1.947254419×10^0,-6.026071906×10^-1,-2.015160561×10^0
2.186386667×10^0,2.189386845×10^0,2.973737419×10^-1,-2.090852022×10^0
2.196335667×10^0,2.403210402×10^0,1.134415388×10^0,-1.836304665×10^0
2.206283667×10^0,2.504157782×10^0,1.238758683×10^0,-1.529658675×10^0
2.216232417×10^0,2.410579205×10^0,7.121907473×10^-1,-1.296068788×10^0
2.226180417×10^0,2.178076506×10^0,2.901979387×10^-1,-9.857372642×10^-1
2.236128417×10^0,1.905947685×10^0,1.773433089×10^-1,-5.484203696×10^-1
2.246077417×10^0,1.660948038×10^0,7.832937688×10^-2,-1.652200073×10^-1
2.256025417×10^0,1.426407576×10^0,1.695586927×10^-2,7.820749283×10^-2
2.265974417×10^0,1.049530387×10^0,2.906057835×10^-1,1.818158925×10^-1
2.275922417×10^0,3.575609624×10^-1,7.524719834×10^-1,2.876018584×10^-1
2.285871417×10^0,-1.040632367×10^0,5.739459395×10^-1,2.996707857×10^-1
2.295819417×10^0,-1.836878657×10^0,9.666605592×10^-1,4.010484815×10^-1
2.305768417×10^0,-1.625539303×10^0,1.243454218×10^0,5.958462358×10^-1
2.315716417×10^0,-1.221632719×10^0,5.974148512×10^-1,7.612495422×10^-1
2.325664417×10^0,-1.127397060×10^0,-2.529196739×10^-1,6.557241678×10^-1
2.335613417×10^0,-9.441731572×10^-1,-4.951774776×10^-1,5.515388250×10^-1
2.345561417×10^0,-6.740441918×10^-1,-1.691724658×10^-1,5.673015118×10^-1
2.355510417×10^0,-5.080835819×10^-1,6.547085196×10^-2,4.704891741×10^-1
2.365458417×10^0,-4.824589491×10^-1,4.863487557×10^-2,2.401819527×10^-1
2.375407417×10^0,-4.592536688×10^-1,1.381274778×10^-3,-1.095613688×10^-1
2.385355417×10^0,-4.238892794×10^-1,2.728772461×10^-1,-3.100007176×10^-1
2.395303417×10^0,-6.003140211×10^-1,5.169052482×10^-1,-2.825208567×10^-2
2.405252417×10^0,-6.946972013×10^-1,2.578573823×10^-1,4.190902710×10^-1
2.415200417×10^0,-6.046362519×10^-1,-4.038282037×10^-1,7.248219848×10^-1
2.425149417×10^0,-3.890424073×10^-1,-1.080952406×10^0,8.918418884×10^-1
2.435097417×10^0,-3.847991116×10^-3,-1.578808904×10^0,1.072190166×10^0
2.445046417×10^0,4.539057314×10^-1,-1.817665696×10^0,1.276919603×10^0
2.454994417×10^0,6.733773947×10^-1,-2.133240938×10^0,1.276391506×10^0
2.464942417×10^0,4.346815050×10^-1,-2.124252081×10^0,8.059613705×10^-1
2.474891417×10^0,1.575445980×10^-1,-2.033814669×10^0,2.792586386×10^-1
2.484839417×10^0,-2.524252981×10^-2,-1.873185277×10^0,1.494683791×10^-2
2.494788417×10^0,2.007616460×10^-1,-1.372750521×10^0,-1.260849088×10^-1
2.504736417×10^0,3.088667989×10^-1,-1.031544209×10^0,-4.277275801×10^-1
2.514685417×10^0,-1.815489829×10^-1,-7.537389994×10^-1,-8.876970410×10^-1
2.524633417×10^0,-2.183141857×10^-1,-2.189461738×10^-1,-1.107496738×10^0
2.534582417×10^0,-1.512689739×10^-1,-2.778519988×10^-1,-1.070548773×10^0
2.544530417×10^0,2.006816119×10^-2,-8.115793467×10^-1,-9.555393457×10^-1
2.554478417×10^0,-3.236934915×10^-2,-1.733481288×10^0,-1.191790342×10^0
2.564427417×10^0,-7.001153380×10^-2,-2.171736479×10^0,-1.420341730×10^0
2.574375417×10^0,-6.484054960×10^-3,-2.279142618×10^0,-1.579248309×10^0
2.584324417×10^0,-1.637687534×10^-1,-2.463526249×10^0,-1.641899943×10^0
2.594272417×10^0,-5.675116777×10^-1,-2.360238314×10^0,-1.484435320×10^0
2.604221417×10^0,-1.051616669×10^0,-2.478291988×10^0,-1.131567836×10^0
2.614169417×10^0,-1.230207086×10^0,-1.896861434×10^0,-9.137376547×10^-1
2.624117417×10^0,-1.112861037×10^0,-1.207334161×10^0,-7.376430631×10^-1
2.634066417×10^0,-5.090183616×10^-1,-5.347157121×10^-1,-5.057891607×10^-1
2.644014417×10^0,3.777474165×10^-1,-2.200523578×10^-2,-2.244613469×10^-1
2.653963417×10^0,1.147888422×10^0,1.551499367×10^-1,1.422052681×10^-1
2.663911417×10^0,1.415725470×10^0,9.181039035×10^-2,4.871855378×10^-1
2.673860417×10^0,1.257020473×10^0,-7.210014760×10^-2,7.105690241×10^-1
2.683808417×10^0,1.150274873×10^0,3.084274568×10^-2,7.689801455×10^-1
2.693756417×10^0,1.226227880×10^0,2.913346887×10^-1,7.314336300×10^-1
2.703705417×10^0,1.417610884×10^0,5.887839198×10^-1,7.083392143×10^-1
2.713653417×10^0,1.628760695×10^0,7.500123978×10^-1,8.031454682×10^-1
2.723602417×10^0,1.832841158×10^0,7.950243354×10^-1,9.632600546×10^-1
2.733550417×10^0,2.014620781×10^0,8.519784808×10^-1,1.156111002×10^0
2.743499417×10^0,2.136397362×10^0,9.606983066×10^-1,1.405483603×10^0
