"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.126065292×10^0,6.879474968×10^-2,-8.084530942×10^-3,1.421666145×10^-1
2.136015292×10^0,1.715778559×10^-1,-7.529979199×10^-2,1.235083770×10^-2
2.145964292×10^0,2.339087874×10^-1,-4.197355732×10^-2,-3.879857063×10^-2
2.155914292×10^0,2.386998087×10^-1,4.306703433×10^-2,-2.472323552×10^-2
2.165864292×10^0,1.755619943×10^-1,1.200529411×10^-1,6.820666045×10^-2
2.175814292×10^0,1.039839461×10^-1,1.748240441×10^-1,2.467588186×10^-1
2.185763292×10^0,3.733161092×10^-2,3.699698150×10^-1,5.568674207×10^-1
2.195713292×10^0,3.041325323×10^-2,9.087805748×10^-1,9.289174676×10^-1
2.205663292×10^0,1.010151356×10^-1,1.703799605×10^0,1.255588531×10^0
2.215613292×10^0,1.478880942×10^-1,2.384797573×10^0,1.479103923×10^0
2.225562292×10^0,1.448618472×10^-1,2.750232220×10^0,1.550517797×10^0
2.235512292×10^0,1.438216120×10^-1,2.661566257×10^0,1.458877921×10^0
2.245462292×10^0,1.318232119×10^-1,2.283263445×10^0,1.224533916×10^0
2.255412292×10^0,1.346487645×10^-2,1.688895583×10^0,1.024862647×10^0
2.265361292×10^0,-2.386004478×10^-1,9.047098160×10^-1,8.727335334×10^-1
2.275311292×10^0,-3.919788301×10^-1,1.737788916×10^-1,8.425809741×10^-1
2.285261292×10^0,-3.465441465×10^-1,-2.402007729×10^-1,8.560147285×10^-1
2.295211292×10^0,-2.176085263×10^-1,-3.128941655×10^-1,9.622759223×10^-1
2.305160292×10^0,-5.748576298×10^-2,-1.320318878×10^-1,1.159121037×10^0
2.315110292×10^0,7.194812596×10^-2,1.571061760×10^-1,1.350574613×10^0
2.325060542×10^0,1.113855541×10^-1,4.731133282×10^-1,1.489762187×10^0
2.335010542×10^0,1.230600551×10^-1,7.963835001×10^-1,1.538207769×10^0
2.344959542×10^0,1.319583654×10^-1,1.027030349×10^0,1.560979128×10^0
2.354909542×10^0,1.593740135×10^-1,1.140206695×10^0,1.573597431×10^0
2.364859542×10^0,1.677752286×10^-1,1.151770592×10^0,1.576950550×10^0
2.374809542×10^0,1.146329120×10^-1,9.821916819×10^-1,1.435328126×10^0
2.384758542×10^0,1.658114344×10^-1,7.988412380×10^-1,1.897718191×10^0
2.394708542×10^0,3.095065653×10^-1,1.110456705×10^0,2.147557735×10^0
2.404658542×10^0,1.984417737×10^-1,1.261791706×10^0,2.156965733×10^0
2.414608542×10^0,3.047114424×10^-2,1.349554062×10^0,2.125826836×10^0
2.424557542×10^0,1.293234993×10^-3,1.802949667×10^0,2.544393778×10^0
2.434507542×10^0,2.915762179×10^-2,2.634234667×10^0,3.648770809×10^0
2.444457542×10^0,-3.171521723×10^-1,2.918417215×10^0,4.442210197×10^0
2.454407542×10^0,-8.640610576×10^-1,2.925825596×10^0,4.535666466×10^0
2.464356542×10^0,-1.400048971×10^0,2.919122696×10^0,4.311386585×10^0
2.474306542×10^0,-1.804206371×10^0,2.585741997×10^0,4.114051819×10^0
2.484256542×10^0,-2.076200485×10^0,1.862267613×10^0,3.966751814×10^0
2.494206542×10^0,-2.001379251×10^0,2.277207971×10^-1,3.688484430×10^0
2.504155542×10^0,-1.606633663×10^0,-1.408262253×10^0,3.315780401×10^0
2.514105542×10^0,-9.779008031×10^-1,-2.265819311×10^0,3.135156870×10^0
2.524055542×10^0,-3.180901408×10^-1,-2.225248337×10^0,3.558015585×10^0
2.534005542×10^0,3.066589236×10^-1,-1.267962813×10^0,4.163016319×10^0
2.543954542×10^0,6.212780476×10^-1,-1.601753086×10^-1,4.220368862×10^0
2.553904542×10^0,6.422637701×10^-1,6.466333270×10^-1,3.307058334×10^0
2.563854542×10^0,3.446225226×10^-1,7.456969023×10^-1,1.876780987×10^0
2.573804542×10^0,-1.016087085×10^-2,2.987835705×10^-1,5.556528568×10^-1
2.583753542×10^0,-2.662669718×10^-1,-3.373235464×10^-1,-2.477821410×10^-1
2.593703542×10^0,-4.031531811×10^-1,-6.937208176×10^-1,-6.517168283×10^-1
2.603653542×10^0,-3.957032263×10^-1,-7.470358014×10^-1,-8.061913848×10^-1
2.613603542×10^0,-2.444013208×10^-1,-6.055095792×10^-1,-8.374017477×10^-1
2.623552542×10^0,-2.683149464×10^-2,-5.542659163×10^-1,-8.288778663×10^-1
2.633502542×10^0,2.970262058×10^-2,-8.731306791×10^-1,-9.044311643×10^-1
2.643452542×10^0,-5.650999770×10^-2,-1.648334503×10^0,-7.272472978×10^-1
2.653402542×10^0,-5.261219293×10^-2,-2.132637978×10^0,-4.309871197×10^-1
2.663351542×10^0,1.856063493×10^-2,-1.943300486×10^0,-2.502602637×10^-1
2.673301542×10^0,1.390502900×10^-1,-1.292447805×10^0,-1.396884769×10^-1
2.683251542×10^0,2.593657076×10^-1,-5.621328950×10^-1,-4.497259855×10^-2
2.693201542×10^0,3.423634171×10^-1,1.665461692×10^-3,4.324644804×10^-3
2.703150542×10^0,3.982748687×10^-1,2.559739053×10^-1,-3.663370758×10^-2
2.713100542×10^0,4.391093850×10^-1,1.181167066×10^-1,-1.396687478×10^-1
2.723050542×10^0,4.682283103×10^-1,-3.489126265×10^-1,-2.397175878×10^-1
2.733000542×10^0,4.728342295×10^-1,-9.336863160×10^-1,-3.139204383×10^-1
2.742949542×10^0,4.341191947×10^-1,-1.371726632×10^0,-3.622821271×10^-1
2.752899542×10^0,3.392230272×10^-1,-1.564836621×10^0,-3.750077486×10^-1
2.762849542×10^0,1.970769763×10^-1,-1.537163973×10^0,-3.309604228×10^-1
2.772799542×10^0,4.666962475×10^-2,-1.366676211×10^0,-1.958800852×10^-1
2.782748542×10^0,-6.520625949×10^-2,-1.109732747×10^0,2.590744384×10^-2
2.792698542×10^0,-1.183251366×10^-1,-7.906147242×10^-1,2.983831763×10^-1
2.802648542×10^0,-9.838615358×10^-2,-4.615518451×10^-1,6.069737673×10^-1
2.812598542×10^0,-1.719089597×10^-2,-1.893560141×10^-1,8.747945428×10^-1
2.822548542×10^0,6.037887186×10^-2,-1.218269952×10^-2,1.008457184×10^0
2.832497542×10^0,1.164117828×10^-1,1.025247052×10^-1,1.040843129×10^0
2.842447542×10^0,1.303599924×10^-1,1.479349434×10^-1,1.017578602×10^0
2.852397542×10^0,6.074336544×10^-2,1.736450940×10^-1,9.361079931×10^-1
2.862346542×10^0,-7.154996693×10^-2,1.325284690×10^-1,8.158273101×10^-1
2.872296542×10^0,-2.118756473×10^-1,7.122197002×10^-2,6.889732480×10^-1
2.882246542×10^0,-2.946542203×10^-1,6.894920021×10^-2,5.630478263×10^-1
2.892196542×10^0,-2.972926199×10^-1,1.496706754×10^-1,4.413935840×10^-1
2.902145542×10^0,-2.394293398×10^-1,2.882714272×10^-1,3.362038136×10^-1
2.912095542×10^0,-1.576116979×10^-1,4.570186138×10^-1,2.513501644×10^-1
2.922045542×10^0,-9.551581740×10^-2,5.786732435×10^-1,1.554654390×10^-1
2.931995542×10^0,-7.600522786×10^-2,6.280596852×10^-1,3.105640970×10^-2
2.941944542×10^0,-7.563313842×10^-2,6.246122718×10^-1,-8.548190445×10^-2
