"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.892907667×10^0,1.569186859×10^0,9.068442078×10^0,4.471501465×10^0
1.902856667×10^0,2.252815247×10^0,9.471404114×10^0,5.999224548×10^0
1.912804667×10^0,2.598895569×10^0,9.061706085×10^0,7.636220398×10^0
1.922753667×10^0,-8.726852417×10^-1,7.682623901×10^0,7.810757446×10^0
1.932701667×10^0,-4.359234924×10^0,7.663912811×10^0,1.257579849×10^1
1.942650667×10^0,-4.417763214×10^0,7.569459229×10^0,1.664897827×10^1
1.952598667×10^0,-1.276994476×10^0,6.769672394×10^0,1.639944717×10^1
1.962546667×10^0,4.162993011×10^0,5.854026489×10^0,1.566462524×10^1
1.972495667×10^0,7.973768463×10^0,6.550977173×10^0,1.467593124×10^1
1.982443667×10^0,1.000504440×10^1,7.889344025×10^0,1.352841751×10^1
1.992392667×10^0,9.601184235×10^0,8.523724823×10^0,1.159967834×10^1
2.002340667×10^0,6.595584412×10^0,7.154821472×10^0,8.491841125×10^0
2.012289667×10^0,1.411414948×10^0,6.878945160×10^0,5.289849701×10^0
2.022237667×10^0,-4.804109802×10^0,7.648794250×10^0,2.186353455×10^0
2.032185667×10^0,-7.119045868×10^0,8.243058472×10^0,-1.666035461×10^-1
2.042134667×10^0,-1.011611343×10^1,8.042475586×10^0,6.677613831×10^-1
2.052082667×10^0,-1.226399689×10^1,7.201374664×10^0,2.248025208×10^0
2.062031667×10^0,-1.026220963×10^1,6.179898834×10^0,3.016527100×10^0
2.071979667×10^0,-6.510112152×10^0,6.607260132×10^0,1.990410919×10^0
2.081928667×10^0,-4.540507965×10^0,5.742059326×10^0,4.638853455×10^-1
2.091876667×10^0,-3.729644165×10^0,3.895199890×10^0,-3.463796997×10^-1
2.101825667×10^0,-3.856879578×10^0,2.522704010×10^0,3.745211792×10^-1
2.111773667×10^0,-5.127138062×10^0,1.793719940×10^0,1.284329224×10^0
2.121721667×10^0,-6.950496368×10^0,1.635648651×10^0,2.145787811×10^0
2.131670667×10^0,-9.460327148×10^0,1.753004608×10^0,1.986219635×10^0
2.141618667×10^0,-8.424181824×10^0,2.074835358×10^0,1.279090118×10^0
2.151567667×10^0,-7.886350250×10^0,2.141147461×10^0,5.743556213×10^-1
2.161515667×10^0,-3.561992798×10^0,1.808389435×10^0,-6.599775696×10^-1
2.171464667×10^0,-1.304986267×10^0,-2.709365845×10^-1,-2.718347168×10^0
2.181412667×10^0,-1.013242950×10^0,-3.858975220×10^-1,-1.460961914×10^0
2.191360667×10^0,-1.893113251×10^0,7.572752380×10^-1,1.288221130×10^0
2.201309667×10^0,-5.713768158×10^0,2.035766602×10^-2,2.564167786×10^-1
2.211257417×10^0,-8.322692871×10^0,-8.825646973×10^-1,-1.644180908×10^0
2.221206417×10^0,-7.187154236×10^0,-5.774990845×10^-1,-2.739752655×10^0
2.231154417×10^0,-8.237519989×10^0,-6.610253906×10^-1,-3.127596130×10^0
2.241103417×10^0,-9.420509949×10^0,-1.128054199×10^0,-3.147355042×10^0
2.251051417×10^0,-9.681866455×10^0,-1.668729858×10^0,-2.862497406×10^0
2.261000417×10^0,-9.453591156×10^0,-1.882635040×10^0,-2.959196320×10^0
2.270948417×10^0,-1.028930328×10^1,-1.266815643×10^0,-3.888314209×10^0
2.280896417×10^0,-1.274135422×10^1,1.542542267×10^0,-5.873635712×10^0
2.290845417×10^0,-1.340896591×10^1,5.068909149×10^0,-1.231489105×10^1
2.300793417×10^0,-1.484971985×10^1,6.831643524×10^0,-4.946164398×10^0
2.310742417×10^0,-1.670780594×10^1,7.306007080×10^0,6.317462769×10^0
2.320690417×10^0,-1.843251938×10^1,7.788453827×10^0,7.536228333×10^0
2.330639417×10^0,-1.634496048×10^1,7.854017487×10^0,3.471880188×10^0
2.340587417×10^0,-1.555385559×10^1,6.786287842×10^0,3.604803772×10^0
2.350535417×10^0,-1.615695145×10^1,6.994055786×10^0,4.286336517×10^0
2.360484417×10^0,-1.580533264×10^1,8.739875336×10^0,3.302731934×10^0
2.370432417×10^0,-1.546733551×10^1,1.035471725×10^1,1.560504913×10^0
2.380381417×10^0,-1.540521469×10^1,1.154264694×10^1,5.563929749×10^-1
