"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.228863792×10^0,-7.826725245×10^-1,5.139185190×10^-1,5.110695958×10^-1
2.238813792×10^0,-9.304583073×10^-1,5.335196257×10^-1,4.709805250×10^-1
2.248763792×10^0,-9.655659199×10^-1,3.648901284×10^-1,4.287330508×10^-1
2.258713792×10^0,-9.533819556×10^-1,-2.308849432×10^-2,3.942733407×10^-1
2.268663792×10^0,-8.640273213×10^-1,-4.912306666×10^-1,3.528207242×10^-1
2.278613792×10^0,-6.107140779×10^-1,-6.623624563×10^-1,2.570742071×10^-1
2.288563792×10^0,-1.860191077×10^-1,-4.734696746×10^-1,3.370628133×10^-2
2.298513792×10^0,3.150815666×10^-1,-6.861619651×10^-2,-4.066891968×10^-1
2.308463792×10^0,6.932314634×10^-1,1.675723195×10^-1,-7.893443108×10^-1
2.318413792×10^0,8.329640627×10^-1,2.557823360×10^-1,-9.144468307×10^-1
2.328363792×10^0,7.787598968×10^-1,1.953020543×10^-1,-9.389144778×10^-1
2.338313792×10^0,4.701721966×10^-1,-3.953842074×10^-2,-8.400334120×10^-1
2.348263792×10^0,-7.214418054×10^-2,-3.660407066×10^-1,-5.862977505×10^-1
2.358213792×10^0,-5.676293373×10^-1,-5.551038384×10^-1,-2.101222426×10^-1
2.368163792×10^0,-9.275545478×10^-1,-6.629977226×10^-1,1.734536439×10^-1
2.378113792×10^0,-1.210982561×10^0,-7.512328029×10^-1,5.481902361×10^-1
2.388063792×10^0,-1.391752839×10^0,-7.728809118×10^-1,8.694229126×10^-1
2.398012792×10^0,-1.434526920×10^0,-7.332520485×10^-1,1.101370931×10^0
2.407962792×10^0,-1.333565712×10^0,-6.600419283×10^-1,1.260062218×10^0
2.417912792×10^0,-1.139383793×10^0,-6.049272418×10^-1,1.325666785×10^0
2.427862667×10^0,-8.982678056×10^-1,-5.509882569×10^-1,1.268579006×10^0
2.437812667×10^0,-6.884748936×10^-1,-3.575439453×10^-1,1.134176373×10^0
2.447762667×10^0,-5.242440104×10^-1,-4.027562961×10^-2,9.826846719×10^-1
2.457712667×10^0,-4.175148606×10^-1,1.001467258×10^-1,8.759632707×10^-1
2.467662667×10^0,-4.236844778×10^-1,-2.767005563×10^-2,8.055267930×10^-1
2.477612667×10^0,-6.348930597×10^-1,-2.269046009×10^-1,7.427119017×10^-1
2.487562667×10^0,-9.740489721×10^-1,-5.468325615×10^-1,6.997749209×10^-1
2.497512667×10^0,-1.351330161×10^0,-9.306422472×10^-1,7.372781038×10^-1
2.507462667×10^0,-1.649570823×10^0,-1.114797592×10^0,8.498759270×10^-1
2.517412667×10^0,-1.795197248×10^0,-1.109827280×10^0,1.058403730×10^0
2.527362667×10^0,-1.772361159×10^0,-1.008593678×10^0,1.291824937×10^0
2.537312667×10^0,-1.652079225×10^0,-8.238883018×10^-1,1.379552841×10^0
2.547262667×10^0,-1.447077155×10^0,-5.503956079×10^-1,1.232605100×10^0
2.557212667×10^0,-1.175773263×10^0,-2.866853774×10^-1,8.709042072×10^-1
2.567162667×10^0,-9.582090378×10^-1,-2.719793841×10^-2,2.871543467×10^-1
2.577111667×10^0,-8.769424558×10^-1,4.377108812×10^-1,-3.735673726×10^-1
2.587061667×10^0,-9.405363798×10^-1,7.140761614×10^-1,-5.716573596×10^-1
2.597011667×10^0,-1.139944553×10^0,6.860333085×10^-1,-5.052695274×10^-1
2.606961667×10^0,-1.370376706×10^0,3.808483779×10^-1,-4.439382851×10^-1
2.616911667×10^0,-1.486906171×10^0,-1.142705530×10^-1,-3.617901504×10^-1
2.626861667×10^0,-1.362801313×10^0,-7.317276001×10^-1,-2.457791865×10^-1
2.636811667×10^0,-1.143451095×10^0,-1.098590016×10^0,-2.234238088×10^-1
2.646761667×10^0,-9.205596447×10^-1,-1.204718828×10^0,-2.249178439×10^-1
2.656711667×10^0,-7.154400945×10^-1,-1.098858476×10^0,-2.102395594×10^-1
2.666661667×10^0,-5.899857283×10^-1,-7.927047610×10^-1,-1.905743480×10^-1
2.676611667×10^0,-5.283553600×10^-1,-5.458268523×10^-1,-1.424696743×10^-1
2.686561667×10^0,-5.260922909×10^-1,-4.334643781×10^-1,-7.017086446×10^-2
2.696511667×10^0,-5.783991814×10^-1,-4.690849483×10^-1,4.526864737×10^-2
2.706461667×10^0,-6.463289857×10^-1,-4.842916429×10^-1,1.312829107×10^-1
2.716411667×10^0,-7.134329677×10^-1,-4.012736976×10^-1,1.694899499×10^-1
2.726361667×10^0,-7.978591323×10^-1,-2.603397667×10^-1,2.085899562×10^-1
2.736311667×10^0,-8.689340949×10^-1,-8.773975074×10^-2,2.429393977×10^-1
2.746260667×10^0,-9.194362760×10^-1,3.998074308×10^-2,2.552993894×10^-1
2.756210667×10^0,-9.429477453×10^-1,-1.515787467×10^-2,2.625748813×10^-1
2.766160667×10^0,-9.155510664×10^-1,-2.548315227×10^-1,2.833832800×10^-1
2.776110667×10^0,-8.002068996×10^-1,-4.815938175×10^-1,3.036765754×10^-1
2.786060667×10^0,-6.147797704×10^-1,-5.023159385×10^-1,3.005843759×10^-1
2.796010667×10^0,-3.999148309×10^-1,-2.979497612×10^-1,2.588359118×10^-1
2.805960667×10^0,-2.274902612×10^-1,6.110557355×10^-3,2.060975283×10^-1
2.815910667×10^0,-1.766728908×10^-1,2.580093741×10^-1,1.612781286×10^-1
2.825860667×10^0,-2.672969103×10^-1,3.837249279×10^-1,1.020230204×10^-1
2.835810667×10^0,-4.074798524×10^-1,3.937120438×10^-1,5.404004827×10^-2
2.845760667×10^0,-4.933481216×10^-1,2.989327013×10^-1,1.026931219×10^-2
2.855710667×10^0,-4.880111516×10^-1,1.464243829×10^-1,-2.463487536×10^-2
2.865660667×10^0,-4.004028141×10^-1,-9.117212147×10^-3,-4.783355817×10^-2
2.875610667×10^0,-2.920601070×10^-1,-1.942979842×10^-1,-7.248511165×10^-2
2.885560667×10^0,-2.209551036×10^-1,-3.993985653×10^-1,-9.156321734×10^-2
2.895510667×10^0,-1.457548887×10^-1,-5.822789073×10^-1,-8.092281967×10^-2
2.905460667×10^0,-5.455092713×10^-2,-6.379582286×10^-1,-7.363567501×10^-2
2.915409667×10^0,1.771581173×10^-2,-5.950861573×10^-1,-6.159019843×10^-2
2.925359667×10^0,5.663588643×10^-2,-6.132200360×10^-1,-2.681178227×10^-2
2.935309667×10^0,9.839132428×10^-2,-7.016487122×10^-1,1.215186156×10^-2
2.945259667×10^0,1.951874495×10^-1,-6.957930923×10^-1,7.481225766×10^-3
2.955209667×10^0,3.420391977×10^-1,-6.065977216×10^-1,-4.363895208×10^-2
2.965159667×10^0,5.331953168×10^-1,-4.522126913×10^-1,-9.340798110×10^-2
2.975109667×10^0,7.423775196×10^-1,-2.111843675×10^-1,-1.351476908×10^-1
2.985059667×10^0,9.092820883×10^-1,1.107820645×10^-1,-1.713061780×10^-1
2.995009667×10^0,1.005506873×10^0,4.509593546×10^-1,-1.713208258×10^-1
3.004959667×10^0,1.073150277×10^0,7.380123734×10^-1,-1.945567727×10^-1
3.014909667×10^0,1.085367322×10^0,9.754899144×10^-1,-2.287978232×10^-1
3.024859667×10^0,1.077210307×10^0,1.150805831×10^0,-2.287272215×10^-1
3.034809667×10^0,1.115015030×10^0,1.204537511×10^0,-2.062980831×10^-1
3.044759667×10^0,1.289773226×10^0,9.996317625×10^-1,-1.993339211×10^-1
3.054709667×10^0,1.578864932×10^0,5.625042319×10^-1,-2.143011540×10^-1
3.064659667×10^0,1.821978807×10^0,9.046731889×10^-2,-2.450745255×10^-1
3.074608667×10^0,1.910267830×10^0,-2.940049767×10^-1,-2.700097263×10^-1
3.084558667×10^0,1.880076170×10^0,-6.497863531×10^-1,-3.062434793×10^-1
3.094508667×10^0,1.793210268×10^0,-9.736168981×10^-1,-3.649235964×10^-1
3.104458667×10^0,1.664860487×10^0,-1.244804025×10^0,-4.020016193×10^-1
3.114408667×10^0,1.539419055×10^0,-1.410464287×10^0,-4.007640481×10^-1
