"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.267417833×10^0,6.682983041×10^-1,-2.384540886×10^-1,-2.491219789×10^-1
2.277367833×10^0,6.375587583×10^-1,-3.578244150×10^-1,-2.888814174×10^-2
2.287317833×10^0,7.525646091×10^-1,-1.369390488×10^-1,2.100069225×10^-1
2.297267833×10^0,8.699399829×10^-1,-2.768392302×10^-2,3.812489808×10^-1
2.307217833×10^0,9.286131859×10^-1,-2.079170197×10^-2,4.474672973×10^-1
2.317167833×10^0,9.141439795×10^-1,4.114410654×10^-2,3.833791316×10^-1
2.327117833×10^0,7.159241438×10^-1,1.457987726×10^-2,7.783741504×10^-2
2.337067833×10^0,5.076742768×10^-1,-1.356011033×10^-1,-1.803709567×10^-1
2.347017833×10^0,2.433902770×10^-1,-2.051491588×10^-1,-2.959475219×10^-1
2.356967833×10^0,-6.660379469×10^-2,-1.659229249×10^-1,-2.908598185×10^-1
2.366917833×10^0,-2.596272230×10^-1,-4.821443185×10^-2,-1.371278465×10^-1
2.376867833×10^0,-3.425780237×10^-1,1.315167248×10^-1,1.062387303×10^-1
2.386817833×10^0,-4.004101157×10^-1,2.853567898×10^-1,3.607167602×10^-1
2.396767833×10^0,-4.987401366×10^-1,3.812958300×10^-1,5.964035392×10^-1
2.406717833×10^0,-5.531096458×10^-1,4.747894704×10^-1,7.929359674×10^-1
2.416667833×10^0,-5.650209188×10^-1,4.893026352×10^-1,9.401264787×10^-1
2.426617833×10^0,-5.333097577×10^-1,4.584140182×10^-1,1.114399314×10^0
2.436567833×10^0,-4.366657734×10^-1,4.423668683×10^-1,1.322488785×10^0
2.446517833×10^0,-2.850300968×10^-1,5.028381944×10^-1,1.545493841×10^0
2.456467833×10^0,-2.537908033×10^-2,5.077077746×10^-1,1.688894153×10^0
2.466417833×10^0,2.541041076×10^-1,3.908378482×10^-1,1.607180476×10^0
2.476367833×10^0,4.051977396×10^-1,2.381066084×10^-1,1.275928855×10^0
2.486317833×10^0,3.897250295×10^-1,5.624066666×10^-2,8.699487448×10^-1
2.496267833×10^0,2.747148275×10^-1,-6.996813416×10^-2,5.340058804×10^-1
2.506217833×10^0,1.445642561×10^-1,-9.526842833×10^-2,3.874206543×10^-1
2.516167833×10^0,5.986322463×10^-2,-2.741508186×10^-2,4.154277742×10^-1
2.526117833×10^0,-2.373895794×10^-2,2.023194730×10^-1,5.562322140×10^-1
2.536067833×10^0,-1.411380172×10^-1,4.438604712×10^-1,6.769841909×10^-1
2.546017833×10^0,-2.905470133×10^-1,5.429824591×10^-1,7.191398740×10^-1
2.555967833×10^0,-4.262600839×10^-1,5.965229273×10^-1,7.916766405×10^-1
2.565916833×10^0,-5.316875577×10^-1,6.510345340×10^-1,9.745792150×10^-1
2.575866833×10^0,-6.270039678×10^-1,7.528410554×10^-1,1.266736746×10^0
2.585816833×10^0,-6.346173286×10^-1,9.470093250×10^-1,1.720698357×10^0
2.595766833×10^0,-5.251981616×10^-1,1.320481896×10^0,2.255663157×10^0
2.605716833×10^0,-4.735550880×10^-1,1.864767313×10^0,2.751432896×10^0
2.615666833×10^0,-3.320730627×10^-1,2.401023388×10^0,3.164515018×10^0
